Date/Time, Speed (cm/sec), Dir (true)
2023-06-11 00:03:00, 57.1, 124
2023-06-11 00:09:00, 49.6, 125
2023-06-11 00:15:00, 39.0, 127
2023-06-11 00:21:00, 31.7, 118
2023-06-11 00:27:00, 34.6, 133
2023-06-11 00:33:00, 21.6, 115
2023-06-11 00:39:00, 19.9, 107
2023-06-11 00:45:00, 10.8, 127
2023-06-11 00:51:00, 14.2, 129
2023-06-11 00:57:00, 13.2, 149
2023-06-11 01:03:00, 14.5, 159
2023-06-11 01:09:00, 10.8, 158
2023-06-11 01:15:00, 1.1, 273
2023-06-11 01:21:00, 3.7, 357
2023-06-11 01:27:00, 5.0, 89
2023-06-11 01:33:00, 35.6, 107
2023-06-11 01:39:00, 35.5, 106
2023-06-11 01:45:00, 39.9, 120
2023-06-11 01:51:00, 48.7, 128
2023-06-11 01:57:00, 46.8, 138
2023-06-11 02:03:00, 49.7, 137
2023-06-11 02:09:00, 54.9, 135
2023-06-11 02:15:00, 51.5, 141
2023-06-11 02:21:00, 40.2, 134
2023-06-11 02:27:00, 34.8, 128
2023-06-11 02:33:00, 30.4, 132
2023-06-11 02:39:00, 25.8, 125
2023-06-11 02:45:00, 20.3, 118
2023-06-11 02:51:00, 19.5, 123
2023-06-11 02:57:00, 20.5, 125
2023-06-11 03:03:00, 15.9, 128
2023-06-11 03:09:00, 14.7, 126
2023-06-11 03:15:00, 17.3, 108
2023-06-11 03:21:00, 7.2, 97
2023-06-11 03:27:00, 5.0, 97
2023-06-11 03:33:00, 1.3, 356
2023-06-11 03:39:00, 6.6, 316
2023-06-11 03:45:00, 7.2, 339
2023-06-11 03:51:00, 12.6, 326
2023-06-11 03:57:00, 15.2, 348
2023-06-11 04:03:00, 28.3, 324
2023-06-11 04:09:00, 36.4, 327
2023-06-11 04:15:00, 45.6, 321
2023-06-11 04:21:00, 65.6, 309
2023-06-11 04:27:00, 65.5, 310
2023-06-11 04:33:00, 68.2, 311
2023-06-11 04:39:00, 71.5, 315
2023-06-11 04:45:00, 81.3, 319
2023-06-11 04:51:00, 82.3, 318
2023-06-11 04:57:00, 78.0, 319
2023-06-11 05:03:00, 74.9, 321
2023-06-11 05:09:00, 75.2, 319
2023-06-11 05:15:00, 73.7, 321
2023-06-11 05:21:00, 71.4, 321
2023-06-11 05:27:00, 74.1, 322
2023-06-11 05:33:00, 70.4, 319
2023-06-11 05:39:00, 66.0, 320
2023-06-11 05:45:00, 66.6, 321
2023-06-11 05:51:00, 67.0, 327
2023-06-11 05:57:00, 67.6, 323
2023-06-11 06:03:00, 68.3, 323
2023-06-11 06:09:00, 66.1, 323
2023-06-11 06:15:00, 66.3, 322
2023-06-11 06:21:00, 61.6, 319
2023-06-11 06:27:00, 61.2, 321
2023-06-11 06:33:00, 63.3, 323
2023-06-11 06:39:00, 62.1, 319
2023-06-11 06:45:00, 63.4, 319
2023-06-11 06:51:00, 59.8, 321
2023-06-11 06:57:00, 61.6, 321
2023-06-11 07:03:00, 61.2, 320
2023-06-11 07:09:00, 58.4, 318
2023-06-11 07:15:00, 58.9, 318
2023-06-11 07:21:00, 55.9, 318
2023-06-11 07:27:00, 52.1, 319
2023-06-11 07:33:00, 51.2, 318
2023-06-11 07:39:00, 48.9, 317
2023-06-11 07:45:00, 44.8, 318
2023-06-11 07:51:00, 43.0, 314
2023-06-11 07:57:00, 43.6, 321
2023-06-11 08:03:00, 41.1, 319
2023-06-11 08:09:00, 36.7, 320
2023-06-11 08:15:00, 30.8, 318
2023-06-11 08:21:00, 27.6, 312
2023-06-11 08:27:00, 18.9, 300
2023-06-11 08:33:00, 14.9, 292
2023-06-11 08:39:00, 10.6, 273
2023-06-11 08:45:00, 9.5, 229
2023-06-11 08:51:00, 10.7, 209
2023-06-11 08:57:00, 25.1, 160
2023-06-11 09:03:00, 35.4, 151
2023-06-11 09:09:00, 22.9, 158
2023-06-11 09:15:00, 42.6, 159
2023-06-11 09:21:00, 65.4, 158
2023-06-11 09:27:00, 71.5, 149
2023-06-11 09:33:00, 75.6, 150
2023-06-11 09:39:00, 74.2, 146
2023-06-11 09:45:00, 76.7, 143
2023-06-11 09:51:00, 76.9, 137
2023-06-11 09:57:00, 70.7, 144
2023-06-11 10:03:00, 81.7, 141
2023-06-11 10:09:00, 76.9, 145
2023-06-11 10:15:00, 82.2, 143
2023-06-11 10:21:00, 72.0, 147
2023-06-11 10:27:00, 63.5, 148
2023-06-11 10:33:00, 73.0, 147
2023-06-11 10:39:00, 72.2, 146
2023-06-11 10:45:00, 80.7, 145
2023-06-11 10:51:00, 87.7, 145
2023-06-11 10:57:00, 79.8, 150
2023-06-11 11:03:00, 61.9, 159
2023-06-11 11:09:00, 58.4, 159
2023-06-11 11:15:00, 64.7, 156
2023-06-11 11:21:00, 56.1, 158
2023-06-11 11:27:00, 57.6, 146
2023-06-11 11:33:00, 51.0, 159
2023-06-11 11:39:00, 53.2, 153
2023-06-11 11:45:00, 43.1, 145
2023-06-11 11:51:00, 32.3, 169
2023-06-11 11:57:00, 35.1, 155
2023-06-11 12:03:00, 36.2, 155
2023-06-11 12:09:00, 18.9, 170
2023-06-11 12:15:00, 9.5, 129
2023-06-11 12:21:00, 6.4, 142
2023-06-11 12:27:00, 8.6, 171
2023-06-11 12:33:00, 3.9, 213
2023-06-11 12:39:00, 5.6, 119
2023-06-11 12:45:00, 23.3, 153
2023-06-11 12:51:00, 18.7, 157
2023-06-11 12:57:00, 10.9, 153
2023-06-11 13:03:00, 5.6, 230
2023-06-11 13:09:00, 8.0, 139
2023-06-11 13:15:00, 20.3, 146
2023-06-11 13:33:00, 19.9, 139
2023-06-11 13:39:00, 17.6, 145
2023-06-11 13:45:00, 15.9, 161
2023-06-11 13:51:00, 10.8, 146
2023-06-11 13:57:00, 25.6, 138
2023-06-11 14:03:00, 20.9, 136
2023-06-11 14:09:00, 10.5, 122
2023-06-11 14:15:00, 20.7, 128
2023-06-11 14:21:00, 19.7, 129
2023-06-11 14:27:00, 13.6, 128
2023-06-11 14:33:00, 13.9, 114
2023-06-11 14:39:00, 19.4, 110
2023-06-11 14:45:00, 29.7, 120
2023-06-11 14:51:00, 34.8, 105
2023-06-11 14:57:00, 37.5, 108
2023-06-11 15:03:00, 38.7, 112
2023-06-11 15:09:00, 33.3, 108
2023-06-11 15:15:00, 29.3, 113
2023-06-11 15:21:00, 28.5, 112
2023-06-11 15:27:00, 25.9, 103
2023-06-11 15:33:00, 20.1, 109
2023-06-11 15:39:00, 26.2, 95
2023-06-11 15:45:00, 12.6, 102
2023-06-11 15:51:00, 17.5, 89
2023-06-11 15:57:00, 15.6, 89
2023-06-11 16:03:00, 10.9, 68
2023-06-11 16:09:00, 5.5, 55
2023-06-11 16:15:00, 6.6, 25
2023-06-11 16:21:00, 15.2, 344
2023-06-11 16:27:00, 23.1, 328
2023-06-11 16:33:00, 24.5, 344
2023-06-11 16:39:00, 31.0, 335
2023-06-11 16:45:00, 36.5, 320
2023-06-11 16:51:00, 56.9, 303
2023-06-11 16:57:00, 67.3, 318
2023-06-11 17:03:00, 58.8, 335
2023-06-11 17:09:00, 54.8, 333
2023-06-11 17:15:00, 57.9, 342
2023-06-11 17:21:00, 56.5, 326
2023-06-11 17:27:00, 58.5, 335
2023-06-11 17:33:00, 52.1, 337
2023-06-11 17:39:00, 59.2, 340
2023-06-11 17:45:00, 60.5, 335
2023-06-11 17:51:00, 73.5, 334
2023-06-11 17:57:00, 85.1, 328
2023-06-11 18:03:00, 74.7, 320
2023-06-11 18:09:00, 73.6, 319
2023-06-11 18:15:00, 73.0, 320
2023-06-11 18:21:00, 74.2, 315
2023-06-11 18:27:00, 78.3, 318
2023-06-11 18:33:00, 85.9, 320
2023-06-11 18:39:00, 81.3, 320
2023-06-11 18:45:00, 83.4, 317
2023-06-11 18:51:00, 76.8, 316
2023-06-11 18:57:00, 75.5, 315
2023-06-11 19:03:00, 77.8, 318
2023-06-11 19:09:00, 78.5, 317
2023-06-11 19:15:00, 72.6, 318
2023-06-11 19:21:00, 76.6, 319
2023-06-11 19:27:00, 75.3, 318
2023-06-11 19:33:00, 70.5, 319
2023-06-11 19:39:00, 71.6, 320
2023-06-11 19:45:00, 70.0, 318
2023-06-11 19:51:00, 71.8, 315
2023-06-11 19:57:00, 64.3, 318
2023-06-11 20:03:00, 68.6, 318
2023-06-11 20:09:00, 62.8, 322
