Date/Time, Speed (cm/sec), Dir (true)
2023-09-12 00:03:00, 24.7, 319
2023-09-12 00:09:00, 21.6, 336
2023-09-12 00:15:00, 17.4, 328
2023-09-12 00:21:00, 18.7, 321
2023-09-12 00:27:00, 14.0, 292
2023-09-12 00:33:00, 4.1, 80
2023-09-12 00:45:00, 19.3, 123
2023-09-12 00:51:00, 22.1, 135
2023-09-12 00:57:00, 22.5, 140
2023-09-12 01:03:00, 20.9, 136
2023-09-12 01:09:00, 22.5, 144
2023-09-12 01:15:00, 25.2, 151
2023-09-12 01:21:00, 30.7, 138
2023-09-12 01:27:00, 28.6, 145
2023-09-12 01:33:00, 29.3, 157
2023-09-12 01:39:00, 23.3, 152
2023-09-12 01:45:00, 39.4, 149
2023-09-12 01:51:00, 63.3, 146
2023-09-12 01:57:00, 78.9, 144
2023-09-12 02:03:00, 89.6, 147
2023-09-12 02:09:00, 95.0, 148
2023-09-12 02:15:00, 96.6, 149
2023-09-12 02:21:00, 95.5, 149
2023-09-12 02:27:00, 97.0, 150
2023-09-12 02:33:00, 101.6, 148
2023-09-12 02:39:00, 92.3, 149
2023-09-12 02:45:00, 98.7, 143
2023-09-12 02:51:00, 101.6, 142
2023-09-12 02:57:00, 98.0, 146
2023-09-12 03:03:00, 113.1, 149
2023-09-12 03:09:00, 115.4, 148
2023-09-12 03:15:00, 107.6, 147
2023-09-12 03:21:00, 103.3, 143
2023-09-12 03:27:00, 101.4, 142
2023-09-12 03:33:00, 105.6, 142
2023-09-12 03:39:00, 98.1, 142
2023-09-12 03:45:00, 105.6, 143
2023-09-12 03:51:00, 98.4, 140
2023-09-12 03:57:00, 104.3, 139
2023-09-12 04:03:00, 114.2, 140
2023-09-12 04:09:00, 116.7, 143
2023-09-12 04:15:00, 117.6, 143
2023-09-12 04:21:00, 123.9, 143
2023-09-12 04:27:00, 113.6, 142
2023-09-12 04:33:00, 119.9, 144
2023-09-12 04:39:00, 116.3, 146
2023-09-12 04:45:00, 123.6, 144
2023-09-12 04:51:00, 120.5, 144
2023-09-12 04:57:00, 115.9, 142
2023-09-12 05:03:00, 109.4, 143
2023-09-12 05:09:00, 108.6, 142
2023-09-12 05:15:00, 105.9, 142
2023-09-12 05:21:00, 117.1, 138
2023-09-12 05:27:00, 108.8, 139
2023-09-12 05:33:00, 108.6, 145
2023-09-12 05:39:00, 110.9, 145
2023-09-12 05:45:00, 103.6, 145
2023-09-12 05:51:00, 99.1, 145
2023-09-12 05:57:00, 97.5, 142
2023-09-12 06:03:00, 91.3, 147
2023-09-12 06:09:00, 92.0, 143
2023-09-12 06:15:00, 86.4, 142
2023-09-12 06:21:00, 79.1, 144
2023-09-12 06:27:00, 92.2, 144
2023-09-12 06:33:00, 65.5, 155
2023-09-12 06:39:00, 79.2, 148
2023-09-12 06:45:00, 56.5, 142
2023-09-12 06:51:00, 70.7, 143
2023-09-12 06:57:00, 53.2, 144
2023-09-12 07:03:00, 52.6, 143
2023-09-12 07:09:00, 55.6, 147
2023-09-12 07:15:00, 42.1, 154
2023-09-12 07:21:00, 46.7, 148
2023-09-12 07:27:00, 45.1, 146
2023-09-12 07:33:00, 35.7, 157
2023-09-12 07:39:00, 15.6, 172
2023-09-12 07:45:00, 16.2, 147
2023-09-12 07:51:00, 13.6, 123
2023-09-12 07:57:00, 7.9, 134
2023-09-12 08:03:00, 2.5, 153
2023-09-12 08:09:00, 4.5, 77
2023-09-12 08:15:00, 5.9, 67
2023-09-12 08:21:00, 8.6, 69
2023-09-12 08:27:00, 8.0, 113
2023-09-12 08:33:00, 9.2, 74
2023-09-12 08:39:00, 4.3, 295
2023-09-12 08:45:00, 6.8, 26
2023-09-12 08:51:00, 17.1, 353
2023-09-12 08:57:00, 22.6, 333
2023-09-12 09:03:00, 15.2, 356
2023-09-12 09:09:00, 21.3, 354
2023-09-12 09:15:00, 14.0, 14
2023-09-12 09:21:00, 13.8, 10
2023-09-12 09:27:00, 12.6, 19
2023-09-12 09:33:00, 8.1, 5
2023-09-12 09:39:00, 14.3, 6
2023-09-12 09:45:00, 16.3, 19
2023-09-12 09:51:00, 17.9, 1
2023-09-12 09:57:00, 17.5, 356
2023-09-12 10:03:00, 18.6, 359
2023-09-12 10:09:00, 22.0, 355
2023-09-12 10:15:00, 26.1, 338
2023-09-12 10:21:00, 35.3, 313
2023-09-12 10:27:00, 41.3, 316
2023-09-12 10:39:00, 39.3, 328
2023-09-12 10:45:00, 41.2, 324
2023-09-12 10:51:00, 36.8, 315
2023-09-12 10:57:00, 43.7, 313
2023-09-12 11:03:00, 39.8, 320
2023-09-12 11:09:00, 43.8, 329
2023-09-12 11:15:00, 37.0, 334
2023-09-12 11:21:00, 26.5, 341
2023-09-12 11:27:00, 22.4, 351
2023-09-12 11:33:00, 28.4, 352
2023-09-12 11:39:00, 29.8, 347
2023-09-12 11:51:00, 25.2, 352
2023-09-12 11:57:00, 21.8, 352
2023-09-12 12:03:00, 17.1, 355
2023-09-12 12:09:00, 18.7, 352
2023-09-12 12:15:00, 15.4, 344
2023-09-12 12:21:00, 17.0, 354
2023-09-12 12:27:00, 15.9, 337
2023-09-12 12:33:00, 12.5, 335
2023-09-12 12:39:00, 5.0, 303
2023-09-12 12:45:00, 9.7, 69
2023-09-12 12:51:00, 15.4, 359
2023-09-12 12:57:00, 2.2, 12
2023-09-12 13:03:00, 14.7, 131
2023-09-12 13:09:00, 18.8, 137
2023-09-12 13:15:00, 26.1, 137
2023-09-12 13:21:00, 36.5, 145
2023-09-12 13:27:00, 47.8, 144
2023-09-12 13:33:00, 51.2, 138
2023-09-12 13:39:00, 50.5, 142
2023-09-12 13:45:00, 48.4, 148
2023-09-12 13:51:00, 54.0, 151
2023-09-12 13:57:00, 58.6, 150
2023-09-12 14:03:00, 62.0, 148
2023-09-12 14:09:00, 69.1, 146
2023-09-12 14:15:00, 69.5, 147
2023-09-12 14:21:00, 74.0, 150
2023-09-12 14:27:00, 79.8, 144
2023-09-12 14:33:00, 83.6, 148
2023-09-12 14:39:00, 88.1, 150
2023-09-12 14:45:00, 88.3, 151
2023-09-12 14:51:00, 95.1, 149
2023-09-12 14:57:00, 93.0, 147
2023-09-12 15:03:00, 94.7, 143
2023-09-12 15:09:00, 92.1, 148
2023-09-12 15:15:00, 90.8, 146
2023-09-12 15:21:00, 94.8, 146
2023-09-12 15:27:00, 98.5, 142
2023-09-12 15:33:00, 89.3, 143
2023-09-12 15:39:00, 103.2, 144
2023-09-12 15:45:00, 101.9, 141
2023-09-12 15:51:00, 101.9, 144
2023-09-12 15:57:00, 100.2, 146
2023-09-12 16:03:00, 100.3, 146
2023-09-12 16:09:00, 107.0, 145
2023-09-12 16:15:00, 104.4, 141
2023-09-12 16:21:00, 93.4, 145
2023-09-12 16:27:00, 105.2, 142
2023-09-12 16:33:00, 98.8, 142
2023-09-12 16:39:00, 87.0, 138
2023-09-12 16:45:00, 102.7, 140
2023-09-12 16:51:00, 93.3, 141
2023-09-12 16:57:00, 100.0, 143
2023-09-12 17:03:00, 83.0, 143
2023-09-12 17:09:00, 83.1, 144
2023-09-12 17:15:00, 85.4, 143
2023-09-12 17:21:00, 80.1, 146
2023-09-12 17:27:00, 79.2, 144
2023-09-12 17:33:00, 74.1, 145
2023-09-12 17:39:00, 73.9, 146
2023-09-12 17:45:00, 80.0, 144
2023-09-12 17:51:00, 81.9, 147
2023-09-12 17:57:00, 74.4, 146
2023-09-12 18:03:00, 68.2, 147
2023-09-12 18:09:00, 70.2, 147
2023-09-12 18:15:00, 66.6, 145
2023-09-12 18:21:00, 60.8, 151
2023-09-12 18:27:00, 65.3, 141
2023-09-12 18:33:00, 39.3, 161
2023-09-12 18:39:00, 56.0, 147
2023-09-12 18:45:00, 46.9, 157
2023-09-12 18:51:00, 52.0, 141
2023-09-12 18:57:00, 40.0, 156
2023-09-12 19:03:00, 30.9, 145
2023-09-12 19:09:00, 30.3, 142
2023-09-12 19:15:00, 29.3, 141
2023-09-12 19:21:00, 19.9, 152
2023-09-12 19:27:00, 18.9, 150
2023-09-12 19:33:00, 4.9, 200
2023-09-12 19:39:00, 15.1, 310
2023-09-12 19:51:00, 21.3, 330
2023-09-12 19:57:00, 13.1, 333
2023-09-12 20:03:00, 18.8, 330
2023-09-12 20:09:00, 24.2, 322
2023-09-12 20:15:00, 28.6, 334
2023-09-12 20:21:00, 33.6, 336
2023-09-12 20:27:00, 35.7, 340
2023-09-12 20:33:00, 44.0, 348
2023-09-12 20:39:00, 48.4, 344
2023-09-12 20:45:00, 51.6, 347
2023-09-12 20:51:00, 55.7, 338
2023-09-12 20:57:00, 64.3, 328
2023-09-12 21:03:00, 73.0, 315
2023-09-12 21:09:00, 111.7, 314
2023-09-12 21:15:00, 107.8, 316
2023-09-12 21:21:00, 112.7, 319
2023-09-12 21:33:00, 128.2, 324
2023-09-12 21:39:00, 109.4, 330
2023-09-12 22:09:00, 111.5, 327
2023-09-12 22:15:00, 97.4, 330
2023-09-12 22:21:00, 129.3, 327
2023-09-12 22:27:00, 112.5, 330
2023-09-12 22:33:00, 101.1, 325
2023-09-12 22:45:00, 80.8, 329
2023-09-12 22:51:00, 80.9, 330
2023-09-12 22:57:00, 81.7, 327
2023-09-12 23:09:00, 73.9, 321
2023-09-12 23:15:00, 81.1, 319
2023-09-12 23:21:00, 79.7, 331
2023-09-12 23:27:00, 78.0, 334
2023-09-12 23:33:00, 69.7, 329
2023-09-12 23:39:00, 65.6, 337
2023-09-12 23:45:00, 69.0, 340
2023-09-12 23:51:00, 70.1, 335
2023-09-12 23:57:00, 75.0, 335
2023-09-13 00:03:00, 65.7, 334
2023-09-13 00:09:00, 60.5, 345
2023-09-13 00:15:00, 57.2, 343
2023-09-13 00:21:00, 56.8, 343
2023-09-13 00:27:00, 54.2, 338
2023-09-13 00:33:00, 49.7, 335
2023-09-13 00:39:00, 60.5, 343
2023-09-13 00:45:00, 61.1, 343
2023-09-13 00:51:00, 50.4, 343
2023-09-13 00:57:00, 42.5, 351
2023-09-13 01:03:00, 38.0, 356
2023-09-13 01:09:00, 25.4, 346
2023-09-13 01:15:00, 30.3, 347
2023-09-13 01:21:00, 20.4, 345
2023-09-13 01:27:00, 9.8, 24
2023-09-13 01:33:00, 7.3, 13
2023-09-13 01:39:00, 7.4, 58
2023-09-13 01:45:00, 2.6, 73
2023-09-13 01:51:00, 11.1, 78
2023-09-13 01:57:00, 15.3, 116
2023-09-13 02:03:00, 11.4, 142
2023-09-13 02:09:00, 15.4, 118
2023-09-13 02:15:00, 24.2, 133
2023-09-13 02:21:00, 36.1, 139
2023-09-13 02:27:00, 24.1, 160
2023-09-13 02:33:00, 40.5, 159
2023-09-13 02:39:00, 67.1, 155
2023-09-13 02:45:00, 75.7, 153
2023-09-13 02:51:00, 76.0, 150
2023-09-13 02:57:00, 80.7, 150
2023-09-13 03:03:00, 90.9, 150
2023-09-13 03:09:00, 106.6, 148
2023-09-13 03:15:00, 100.2, 149
2023-09-13 03:21:00, 103.6, 143
2023-09-13 03:27:00, 107.2, 144
2023-09-13 03:33:00, 100.4, 140
2023-09-13 03:39:00, 113.8, 141
2023-09-13 03:45:00, 98.2, 142
2023-09-13 03:51:00, 92.0, 143
2023-09-13 03:57:00, 86.9, 140
2023-09-13 04:03:00, 85.7, 141
2023-09-13 04:09:00, 90.3, 145
2023-09-13 04:15:00, 94.8, 144
2023-09-13 04:21:00, 90.0, 148
2023-09-13 04:27:00, 94.5, 151
2023-09-13 04:33:00, 96.0, 148
2023-09-13 04:39:00, 96.6, 144
2023-09-13 04:45:00, 97.9, 142
2023-09-13 04:51:00, 91.8, 139
2023-09-13 04:57:00, 78.9, 136
2023-09-13 05:03:00, 81.2, 137
2023-09-13 05:09:00, 89.4, 136
2023-09-13 05:15:00, 97.6, 143
2023-09-13 05:21:00, 104.8, 140
2023-09-13 05:27:00, 111.6, 141
2023-09-13 05:33:00, 106.3, 146
2023-09-13 05:39:00, 93.6, 148
2023-09-13 05:45:00, 82.4, 147
2023-09-13 05:51:00, 73.2, 146
2023-09-13 05:57:00, 62.3, 146
2023-09-13 06:03:00, 67.7, 147
2023-09-13 06:09:00, 64.4, 143
2023-09-13 06:15:00, 68.4, 143
2023-09-13 06:21:00, 65.8, 146
2023-09-13 06:27:00, 70.1, 140
2023-09-13 06:33:00, 66.3, 146
2023-09-13 06:45:00, 67.0, 145
2023-09-13 06:51:00, 65.5, 147
2023-09-13 06:57:00, 72.2, 147
2023-09-13 07:03:00, 69.0, 142
2023-09-13 07:09:00, 57.3, 145
2023-09-13 07:15:00, 59.0, 141
2023-09-13 07:21:00, 32.6, 174
2023-09-13 07:27:00, 34.2, 139
2023-09-13 07:33:00, 38.7, 142
2023-09-13 07:39:00, 26.4, 170
2023-09-13 07:45:00, 36.3, 141
2023-09-13 07:51:00, 35.6, 141
2023-09-13 07:57:00, 25.5, 153
2023-09-13 08:03:00, 22.1, 162
2023-09-13 08:09:00, 13.3, 165
2023-09-13 08:15:00, 9.0, 139
2023-09-13 08:21:00, 10.0, 103
2023-09-13 08:27:00, 5.3, 103
2023-09-13 08:33:00, 5.7, 346
2023-09-13 08:39:00, 13.8, 14
2023-09-13 08:45:00, 16.8, 352
2023-09-13 08:51:00, 16.1, 5
2023-09-13 08:57:00, 20.9, 348
2023-09-13 09:03:00, 19.5, 357
2023-09-13 09:09:00, 16.2, 353
2023-09-13 09:15:00, 28.2, 343
2023-09-13 09:21:00, 22.1, 350
2023-09-13 09:27:00, 25.9, 349
2023-09-13 09:33:00, 36.1, 329
2023-09-13 09:39:00, 41.7, 341
2023-09-13 09:45:00, 34.1, 333
2023-09-13 09:51:00, 36.0, 336
2023-09-13 09:57:00, 41.9, 325
2023-09-13 10:03:00, 45.3, 329
2023-09-13 10:09:00, 41.7, 352
2023-09-13 10:15:00, 38.6, 328
2023-09-13 10:21:00, 37.2, 330
2023-09-13 10:27:00, 36.5, 325
2023-09-13 10:33:00, 59.3, 309
2023-09-13 10:39:00, 92.8, 326
2023-09-13 10:45:00, 89.3, 338
2023-09-13 10:51:00, 71.8, 332
2023-09-13 10:57:00, 66.3, 341
2023-09-13 11:03:00, 72.2, 345
2023-09-13 11:09:00, 71.8, 336
2023-09-13 11:15:00, 70.1, 335
2023-09-13 11:21:00, 67.7, 338
2023-09-13 11:27:00, 56.8, 336
2023-09-13 11:33:00, 54.0, 342
2023-09-13 11:39:00, 58.7, 349
2023-09-13 11:51:00, 51.6, 337
2023-09-13 11:57:00, 45.1, 346
2023-09-13 12:03:00, 45.7, 7
2023-09-13 12:09:00, 35.9, 0
2023-09-13 12:15:00, 30.0, 349
2023-09-13 12:21:00, 30.6, 351
2023-09-13 12:27:00, 26.5, 355
2023-09-13 12:33:00, 23.2, 344
2023-09-13 12:39:00, 23.1, 3
2023-09-13 12:45:00, 21.7, 354
2023-09-13 12:51:00, 15.9, 343
2023-09-13 13:03:00, 16.1, 11
2023-09-13 13:09:00, 19.7, 10
2023-09-13 13:15:00, 17.5, 351
2023-09-13 13:45:00, 7.9, 162
2023-09-13 13:51:00, 12.5, 119
2023-09-13 13:57:00, 19.1, 126
2023-09-13 14:03:00, 23.8, 136
2023-09-13 14:09:00, 30.1, 147
2023-09-13 14:15:00, 31.0, 143
2023-09-13 14:21:00, 29.1, 140
2023-09-13 14:27:00, 24.1, 146
2023-09-13 14:33:00, 63.2, 143
2023-09-13 14:39:00, 57.2, 154
