"","YEAR","strat.biomass"
"1",1963,194.581610933912
"2",1964,357.921662985278
"3",1965,202.64667388555
"4",1966,214.353306719326
"5",1967,206.525521969065
"6",1968,133.379066846327
"7",1969,397.399409610981
"8",1970,92.4425887505244
"9",1971,51.4426982439363
"10",1972,132.178890902987
"11",1973,36.7338063863584
"12",1974,28.256515037509
"13",1975,89.8718660256525
"14",1976,37.1475685469021
"15",1977,77.8661279910925
"16",1978,37.2758382181652
"17",1979,106.328703755649
"18",1980,57.8416624804572
"19",1981,194.492638362237
"20",1982,42.2767031202033
"21",1983,46.3155357730149
"22",1984,97.7725365017329
"23",1985,69.0898601490851
"24",1986,20.0333004465849
"25",1987,38.5469556802675
"26",1988,71.3152080856712
"27",1989,93.1615634401341
"28",1990,25.0370336306325
"29",1991,22.1610073721645
"30",1992,26.2310955879973
"31",1993,12.6184617007311
"32",1994,12.4079656552955
"33",1995,23.3932093459532
"34",1996,49.2464230535323
"35",1997,45.2067818991534
"36",1998,126.678850835471
"37",1999,52.5346369851007
"38",2000,49.8878814049806
"39",2001,58.7916475565299
"40",2002,88.2268215547368
"41",2003,131.115814160982
"42",2004,122.184611286383
"43",2005,99.4061236479768
"44",2006,107.629316740477
"45",2007,37.0606484158218
"46",2008,31.0534229482682
"47",2009,69.2514403756272
"48",2010,78.7511296133183
"49",2011,170.581449792284
"50",2012,162.562935564789
"51",2013,141.626735987307
"52",2014,28.8039758941528
"53",2015,142.592114190123
"54",2016,51.6020512136822
"55",2018,38.4611909793517
"56",2019,35.3772271015807
"57",2021,15.9441857818341
"58",2022,49.3018241928879
"59",2023,21.0244569156593
"60",2024,35.5100044377747
