"","sid","year","month","day","hour","time","lat","lon","x","y","p_cent","p_edge","depth","p_grad","DsqP","radius","area","Dp","DpDt","u","v","uv","Ege","Ely","Emg","Esp","Erg","id","pid","type","centers","strength"
"502",123,1940,1,6,0,14614,42.7585501914636,-73.6894229284214,163,302,1006.44073529077,1006.44073529077,0,8.47373364010447,4.23780016639772,14.1047395886939,625,0.54016129694297,5.5122851002512,125.349899978158,-46.2128562663047,133.5972511275,0,0,0,0,0,11,11,1,1,1
"687",169,1940,1,6,0,14614,37.2721041412317,-68.128231425585,149,275,1006.04811971175,1008.04811971175,2,8.19351649412336,8.25386862263549,171.591562939442,92500,NA,NA,NA,NA,NA,3,0,0,0,0,9,9,1,1,1
"822",223,1940,1,8,21,14616.875,37.31422655787,-68.9261913680859,148,278,998.02764460677,1018.02764460677,20,21.8078622770291,19.4293225661284,851.907589177983,2280000,-1.89913599511623,-21.705553003413,61.459107701183,21.454143328064,65.0960996171562,0,0,0,0,0,2,2,1,1,2
"823",223,1940,1,9,0,14617,37.5474286553031,-67.4679969724595,151,273,995.498373855698,1015.4983738557,20,24.736606731851,26.3187510903196,638.619246243786,1281250,-2.52927075107174,-28.7541610241218,42.8514331462535,8.64363003914289,43.7145017464617,0,0,0,0,0,3,3,1,1,2
"1411",412,1940,1,15,15,14623.625,42.1711019084287,-71.565051177078,163,294,999.443551188919,999.443551188919,0,14.1006572855419,4.63363934245317,14.1047395886939,625,0.0112618302610645,0.116220470627881,26.309500022652,8.92591000878369,27.782398401269,2,0,0,2,0,6,6,1,1,1
"1412",412,1940,1,15,18,14623.75,42.7105861979365,-70.7693276243387,166,292,997.145844936897,999.145844936897,2,15.1295377665972,5.02047675674832,163.882264588812,84375,-2.29770625202131,-23.4690886057241,21.671408504836,19.9959719992359,29.4870962079637,0,0,0,0,0,6,6,1,1,1
"3116",145,1940,2,2,6,14641.25,42.1390199771313,-75.3267904920135,159,307,1012.52934275896,1012.52934275896,0,7.70148455160294,2.42447846204472,14.1047395886939,625,-1.71242164690018,-17.6828788444815,67.8559424847173,-56.5525373354008,88.3324312444821,0,0,0,0,0,6,6,1,1,1
"3117",145,1940,2,2,9,14641.375,41.2330416334975,-74.7448812969422,156,304,1009.92892476409,1009.92892476409,0,9.24642650692694,2.69954770743971,14.1047395886939,625,-2.60041799486251,-27.3336195557298,16.2201975060347,-33.5800651539724,37.292299243675,0,0,0,0,0,6,6,1,1,1
"3118",145,1940,2,2,12,14641.5,39.0858109192956,-73.4632079225419,149,297,1009.41718726943,1009.41718726943,0,8.88812328698751,2.02156456655015,14.1047395886939,625,-0.511737494666449,-5.62333634971937,36.8733466155137,-79.5870539182053,87.713983161222,0,0,0,0,0,8,8,1,1,1
"3119",145,1940,2,2,15,14641.625,38.555149579582,-72.5457675910743,148,293,1007.9315508082,1007.9315508082,0,10.0373410867151,3.41305034366662,14.1047395886939,625,-1.4856364612242,-16.5142398703819,26.592016518055,-19.6689495808535,33.075714959932,0,0,0,0,0,7,7,1,1,1
"3120",145,1940,2,2,18,14641.75,37.6854661069823,-70.6799339891995,147,285,1003.15886565795,1005.15886565795,2,11.739240893671,3.51021232069099,318.529867078557,318750,-4.77268515025396,-54.0891694733756,54.7285288999757,-32.2347966465695,63.5160923735172,0,0,0,0,0,5,5,1,1,1
"3249",185,1940,2,7,12,14646.5,37.4951736857418,-75.2564371635293,141,302,998.381622926074,998.381622926074,0,8.51672105876112,2.90357235405594,14.1047395886939,625,NA,NA,NA,NA,NA,3,0,0,0,0,6,6,1,1,1
"3251",185,1940,2,7,18,14646.75,38.4593875076819,-69.8515858597122,151,283,992.525124915917,994.525124915917,2,14.4732881392621,10.5091962024944,155.791940810538,76250,-4.08011528426141,-45.4496739746022,70.4571035917455,58.0605511137934,91.2974865052449,0,0,0,0,0,7,7,1,1,1
"3252",185,1940,2,7,21,14646.875,40.0059493839691,-67.5332500790043,160,277,989.087162465244,995.087162465244,6,16.9776631715521,17.3945110665335,478.522908932754,719375,-3.43796245067308,-37.0510494678473,65.8178866957267,57.3232781283432,87.2808823538747,0,0,0,0,0,6,6,1,1,2
"3560",272,1940,2,11,6,14650.25,42.4868368064007,-74.6472320016061,161,305,989.386192965099,1001.3861929651,12,15.937709597804,13.8962009794449,779.21505882239,1907500,NA,NA,NA,NA,NA,3,0,0,0,0,6,6,1,1,1
