"","Year","Variable","Val","Loc","N"
"76",2016,"GLORYS12_moving_intensity_cumulative_abs",NA,"NYB",NA
"77",2016,"GLORYS12_moving_rate_onset",NA,"NYB",NA
"78",2016,"GLORYS12_moving_rate_decline",NA,"NYB",NA
"79",2016,"GLORYS12_moving_total_days",NA,"NYB",NA
"80",2016,"GLORYS12_moving_total_icum",NA,"NYB",NA
"81",2017,"GLORYS12_moving_count",0,"NYB",NA
"82",2017,"GLORYS12_moving_duration",NA,"NYB",NA
"83",2017,"GLORYS12_moving_duration_max",NA,"NYB",NA
"84",2017,"GLORYS12_moving_intensity_mean",NA,"NYB",NA
"85",2017,"GLORYS12_moving_intensity_max",NA,"NYB",NA
"86",2017,"GLORYS12_moving_intensity_max_max",NA,"NYB",NA
"87",2017,"GLORYS12_moving_intensity_var",NA,"NYB",NA
"88",2017,"GLORYS12_moving_intensity_cumulative",NA,"NYB",NA
"89",2017,"GLORYS12_moving_intensity_mean_relThresh",NA,"NYB",NA
"90",2017,"GLORYS12_moving_intensity_max_relThresh",NA,"NYB",NA
"91",2017,"GLORYS12_moving_intensity_var_relThresh",NA,"NYB",NA
"92",2017,"GLORYS12_moving_intensity_cumulative_relThresh",NA,"NYB",NA
"93",2017,"GLORYS12_moving_intensity_mean_abs",NA,"NYB",NA
"94",2017,"GLORYS12_moving_intensity_max_abs",NA,"NYB",NA
"95",2017,"GLORYS12_moving_intensity_var_abs",NA,"NYB",NA
"96",2017,"GLORYS12_moving_intensity_cumulative_abs",NA,"NYB",NA
"97",2017,"GLORYS12_moving_rate_onset",NA,"NYB",NA
"98",2017,"GLORYS12_moving_rate_decline",NA,"NYB",NA
"99",2017,"GLORYS12_moving_total_days",NA,"NYB",NA
"100",2017,"GLORYS12_moving_total_icum",NA,"NYB",NA
"101",2018,"GLORYS12_moving_count",0,"NYB",NA
"102",2018,"GLORYS12_moving_duration",NA,"NYB",NA
"103",2018,"GLORYS12_moving_duration_max",NA,"NYB",NA
"104",2018,"GLORYS12_moving_intensity_mean",NA,"NYB",NA
"105",2018,"GLORYS12_moving_intensity_max",NA,"NYB",NA
"106",2018,"GLORYS12_moving_intensity_max_max",NA,"NYB",NA
"107",2018,"GLORYS12_moving_intensity_var",NA,"NYB",NA
"108",2018,"GLORYS12_moving_intensity_cumulative",NA,"NYB",NA
"109",2018,"GLORYS12_moving_intensity_mean_relThresh",NA,"NYB",NA
"110",2018,"GLORYS12_moving_intensity_max_relThresh",NA,"NYB",NA
"111",2018,"GLORYS12_moving_intensity_var_relThresh",NA,"NYB",NA
"112",2018,"GLORYS12_moving_intensity_cumulative_relThresh",NA,"NYB",NA
"113",2018,"GLORYS12_moving_intensity_mean_abs",NA,"NYB",NA
"114",2018,"GLORYS12_moving_intensity_max_abs",NA,"NYB",NA
"115",2018,"GLORYS12_moving_intensity_var_abs",NA,"NYB",NA
"116",2018,"GLORYS12_moving_intensity_cumulative_abs",NA,"NYB",NA
"117",2018,"GLORYS12_moving_rate_onset",NA,"NYB",NA
"118",2018,"GLORYS12_moving_rate_decline",NA,"NYB",NA
"119",2018,"GLORYS12_moving_total_days",NA,"NYB",NA
"120",2018,"GLORYS12_moving_total_icum",NA,"NYB",NA
"121",2019,"GLORYS12_moving_count",1,"NYB",NA
"122",2019,"GLORYS12_moving_duration",98,"NYB",NA
"123",2019,"GLORYS12_moving_duration_max",98,"NYB",NA
"124",2019,"GLORYS12_moving_intensity_mean",1.949,"NYB",NA
"125",2019,"GLORYS12_moving_intensity_max",2.8327,"NYB",NA
"126",2019,"GLORYS12_moving_intensity_max_max",2.8327,"NYB",NA
"127",2019,"GLORYS12_moving_intensity_var",0.4842,"NYB",NA
"128",2019,"GLORYS12_moving_intensity_cumulative",191.0015,"NYB",NA
"129",2019,"GLORYS12_moving_intensity_mean_relThresh",0.7411,"NYB",NA
"130",2019,"GLORYS12_moving_intensity_max_relThresh",1.5497,"NYB",NA
"131",2019,"GLORYS12_moving_intensity_var_relThresh",0.4178,"NYB",NA
"132",2019,"GLORYS12_moving_intensity_cumulative_relThresh",72.624,"NYB",NA
"133",2019,"GLORYS12_moving_intensity_mean_abs",13.0211,"NYB",NA
"134",2019,"GLORYS12_moving_intensity_max_abs",14.1028,"NYB",NA
"135",2019,"GLORYS12_moving_intensity_var_abs",0.9517,"NYB",NA
"136",2019,"GLORYS12_moving_intensity_cumulative_abs",1276.0675,"NYB",NA
"137",2019,"GLORYS12_moving_rate_onset",0.0377,"NYB",NA
"138",2019,"GLORYS12_moving_rate_decline",0.0359,"NYB",NA
"139",2019,"GLORYS12_moving_total_days",98,"NYB",NA
"140",2019,"GLORYS12_moving_total_icum",191.0015,"NYB",NA
"141",2020,"GLORYS12_moving_count",3,"NYB",NA
"142",2020,"GLORYS12_moving_duration",7.33333333333333,"NYB",NA
"143",2020,"GLORYS12_moving_duration_max",9,"NYB",NA
"144",2020,"GLORYS12_moving_intensity_mean",1.32503333333333,"NYB",NA
"145",2020,"GLORYS12_moving_intensity_max",1.41006666666667,"NYB",NA
"146",2020,"GLORYS12_moving_intensity_max_max",1.6937,"NYB",NA
"147",2020,"GLORYS12_moving_intensity_var",0.0571,"NYB",NA
"148",2020,"GLORYS12_moving_intensity_cumulative",10.0124,"NYB",NA
"149",2020,"GLORYS12_moving_intensity_mean_relThresh",0.0850333333333333,"NYB",NA
"150",2020,"GLORYS12_moving_intensity_max_relThresh",0.169166666666667,"NYB",NA
"151",2020,"GLORYS12_moving_intensity_var_relThresh",0.0532,"NYB",NA
"152",2020,"GLORYS12_moving_intensity_cumulative_relThresh",0.665433333333333,"NYB",NA
"153",2020,"GLORYS12_moving_intensity_mean_abs",9.60393333333333,"NYB",NA
"154",2020,"GLORYS12_moving_intensity_max_abs",9.7057,"NYB",NA
"155",2020,"GLORYS12_moving_intensity_var_abs",0.0686666666666667,"NYB",NA
"156",2020,"GLORYS12_moving_intensity_cumulative_abs",68.6482333333333,"NYB",NA
"157",2020,"GLORYS12_moving_rate_onset",0.0335,"NYB",NA
"158",2020,"GLORYS12_moving_rate_decline",0.088,"NYB",NA
"159",2020,"GLORYS12_moving_total_days",22,"NYB",NA
