"","YEAR","strat.biomass"
"1",1968,29.5841159550163
"2",1969,23.689530784233
"3",1970,21.4291693533118
"4",1971,17.8546597322974
"5",1972,12.4483083360794
"6",1973,104.0720907889
"7",1974,26.9070409341849
"8",1975,10.3432002847625
"9",1976,16.3153607767988
"10",1977,5.54675124129542
"11",1978,9.9389690771874
"12",1979,12.5233372932836
"13",1980,10.8259955559154
"14",1981,16.4905430430119
"15",1982,12.9065948271366
"16",1983,15.6811761073698
"17",1984,12.2309839520885
"18",1985,9.82934858765177
"19",1986,34.2010030719667
"20",1987,25.52371467795
"21",1988,22.4407624858269
"22",1989,7.67798938409883
"23",1990,10.0514659207536
"24",1991,23.1248706816803
"25",1992,18.3035873648058
"26",1993,25.9100517904301
"27",1994,24.5396417239124
"28",1995,27.2370003116854
"29",1996,53.4010125985125
"30",1997,32.234080910357
"31",1998,28.3712735992778
"32",1999,65.0776607451153
"33",2000,15.1695099673877
"34",2001,32.1652977010385
"35",2002,62.3678189133154
"36",2003,19.686738544206
"37",2004,14.3818689397333
"38",2005,19.1495604785323
"39",2006,52.5879993383573
"40",2007,16.9986557663974
"41",2008,61.3778932805181
"42",2009,52.9114541129005
"43",2010,15.9226945623294
"44",2011,23.0981120278265
"45",2012,20.0672880219489
"46",2013,9.17924507476037
"47",2014,55.9205007771333
"48",2015,9.3982732900156
"49",2016,60.408111976981
"50",2017,17.7144742216877
"51",2018,22.251717804578
"52",2019,22.5905417746663
"53",2020,4.27343915392462
"54",2021,44.0853973555967
"55",2022,33.5304781008275
"56",2024,19.8230623253969
"57",2025,7.26972692794607
