"","season_year","bottom_temp","season"
"1","1968",7.34999995231628,"winter"
"2","1969",9.95999995867412,"winter"
"3","1970",7.92411764930276,"winter"
"4","1971",9.23804344647172,"winter"
"5","1972",10.1504878183691,"winter"
"6","1973",9.11636348204179,"winter"
"7","1974",11.7918181852861,"winter"
"8","1975",9.31102941316717,"winter"
"9","1976",10.8746315378892,"winter"
"10","1977",10.351101695481,"winter"
"11","1978",7.25951754105718,"winter"
"12","1979",8.53462686823375,"winter"
"13","1980",9.40256759282705,"winter"
"14","1981",9.01043475192526,"winter"
"15","1982",7.43320896548789,"winter"
"16","1983",7.46210940368473,"winter"
"17","1984",8.51377778583103,"winter"
"18","1985",8.47920831044515,"winter"
"19","1986",9.38571795439108,"winter"
"20","1987",9.71583338578542,"winter"
"21","1988",8.84615387824865,"winter"
"22","1989",8.46534880926443,"winter"
"23","1990",7.64946663856507,"winter"
"24","1991",8.96563828752396,"winter"
"25","1992",8.68065217007761,"winter"
"26","1993",7.89593407347962,"winter"
"27","1994",8.30825581938721,"winter"
"28","1995",10.2024073953982,"winter"
"29","1996",8.95337842122929,"winter"
"30","1997",8.92835824881027,"winter"
"31","1998",8.7400000202122,"winter"
"32","1999",10.1023287642492,"winter"
"33","2000",8.85517856052943,"winter"
"34","2001",9.20666666407334,"winter"
"35","2002",9.83563381517437,"winter"
"36","2003",7.67527780267927,"winter"
"37","2004",7.71704224465598,"winter"
"38","2005",9.46492754203686,"winter"
"39","2006",9.71814816086381,"winter"
"40","2007",10.3147058711332,"winter"
"41","2008",9.86120007514953,"winter"
"42","2009",8.97644742852763,"winter"
"43","2010",9.84551034168321,"winter"
"44","2011",10.7784906198394,"winter"
"45","2012",10.1396000099182,"winter"
"46","2013",9.70688896179199,"winter"
"47","2014",10.5436363220215,"winter"
"48","2015",6.76166681448619,"winter"
"49","2016",8.9483335018158,"winter"
"50","2017",8.88000010450681,"winter"
"51","2018",7.13882366348716,"winter"
"52","2019",8.40084163567225,"winter"
"53","2020",8.96437694068321,"winter"
"54","2022",8.04375,"winter"
"55","2023",13.0900001525879,"winter"
"56","1967",8.43999996185303,"spring"
"57","1968",5.69999980926514,"spring"
"58","1969",6.9463636116548,"spring"
"59","1970",7.17682050680503,"spring"
"60","1971",7.24971154102912,"spring"
"61","1972",8.22841121548804,"spring"
"62","1973",8.38535087568718,"spring"
"63","1974",8.44920456409455,"spring"
"64","1975",7.6711309949557,"spring"
"65","1976",8.14085364923244,"spring"
"66","1977",6.1001858853053,"spring"
"67","1978",5.48078291696162,"spring"
"68","1979",6.4462333257993,"spring"
"69","1980",6.79202828317318,"spring"
"70","1981",7.31759562648711,"spring"
"71","1982",8.2323592249228,"spring"
"72","1983",8.03533709183168,"spring"
"73","1984",7.4713561415128,"spring"
"74","1985",8.37808139934096,"spring"
"75","1986",8.65999998076487,"spring"
"76","1987",6.93617322782832,"spring"
"77","1988",7.05191783709069,"spring"
"78","1989",7.14395835002264,"spring"
"79","1990",7.93838094075521,"spring"
"80","1991",8.03358383950471,"spring"
"81","1992",7.07138297659286,"spring"
"82","1993",6.51606738433409,"spring"
"83","1994",6.31910256086252,"spring"
"84","1995",8.1130645275116,"spring"
"85","1996",6.35770272242056,"spring"
"86","1997",7.76376221444872,"spring"
"87","1998",6.61560001182556,"spring"
"88","1999",7.81945208327411,"spring"
"89","2000",7.8110293710933,"spring"
"90","2001",6.5261363630945,"spring"
"91","2002",8.40613638270985,"spring"
"92","2003",5.44036427906581,"spring"
"93","2004",6.30473685766521,"spring"
"94","2005",6.65801652009822,"spring"
"95","2006",8.09532259356591,"spring"
"96","2007",7.29756523007932,"spring"
"97","2008",7.88000007224294,"spring"
"98","2009",7.5075609606456,"spring"
"99","2010",7.13796464320833,"spring"
"100","2011",6.64862069316294,"spring"
"101","2012",9.53018021798349,"spring"
"102","2013",7.70088608657257,"spring"
"103","2014",7.12987344174445,"spring"
"104","2015",6.9480208704869,"spring"
"105","2016",9.74696081759883,"spring"
"106","2017",7.35675930093836,"spring"
"107","2018",7.2746341751843,"spring"
"108","2019",8.32657112149557,"spring"
"109","2020",9.21666663885116,"spring"
"110","2021",8.83496109031571,"spring"
"111","2022",8.82331324258692,"spring"
"112","2023",9.6469666703754,"spring"
"113","2024",8.07247223599752,"spring"
"114","1967",7.09533332188925,"summer"
"115","1968",8.69899996121724,"summer"
"116","1969",8.75625002384186,"summer"
"117","1970",7.04100001653035,"summer"
"118","1971",7.56810814625508,"summer"
"119","1972",8.38279072074003,"summer"
"120","1973",8.88271605526959,"summer"
"121","1974",9.66999996625459,"summer"
"122","1975",7.24699027561447,"summer"
"123","1976",7.06616667009169,"summer"
"124","1977",8.67494879159504,"summer"
"125","1978",8.38093079189128,"summer"
"126","1979",9.1881790908415,"summer"
"127","1980",8.02818750143051,"summer"
"128","1981",8.57412934896365,"summer"
"129","1982",8.68355856285439,"summer"
"130","1983",8.59748898518768,"summer"
"131","1984",7.66418369935483,"summer"
"132","1985",8.97684784039207,"summer"
"133","1986",10.5682812742889,"summer"
"134","1987",10.2223153884594,"summer"
"135","1988",12.0097143309457,"summer"
"136","1989",11.923114708864,"summer"
"137","1990",9.1478659176245,"summer"
"138","1991",8.84437089250577,"summer"
"139","1992",8.4699999830696,"summer"
"140","1993",8.47057971401491,"summer"
"141","1994",7.63233646945418,"summer"
"142","1995",9.01638297324485,"summer"
"143","1996",7.62310978261436,"summer"
"144","1997",8.65645532912396,"summer"
"145","1998",9.05653334299723,"summer"
"146","1999",10.0096635371447,"summer"
"147","2000",13.3473020941019,"summer"
"148","2001",8.98232558716176,"summer"
"149","2002",9.73433087195879,"summer"
"150","2003",8.54633332888285,"summer"
"151","2004",7.85753622953443,"summer"
"152","2005",9.35250003229488,"summer"
"153","2006",10.104634139596,"summer"
"154","2007",8.18275001049042,"summer"
"155","2008",9.74124998847643,"summer"
"156","2009",9.48594061690982,"summer"
"157","2010",8.9400000307295,"summer"
"158","2011",9.59028128286203,"summer"
"159","2012",8.78303225232709,"summer"
"160","2013",8.99500258916463,"summer"
"161","2014",7.7200001080831,"summer"
"162","2015",9.8240740387528,"summer"
"163","2016",10.0781356278112,"summer"
"164","2017",9.01714296340942,"summer"
"165","2018",9.697398727308,"summer"
"166","2019",8.79342576478504,"summer"
