"","season_year","bottom_temp","season"
"167","2020",9.4998125,"summer"
"168","2021",10.9631428991045,"summer"
"169","2022",10.2689824988108,"summer"
"170","2023",11.3916664918264,"summer"
"171","2024",9.76638695652174,"summer"
"172","1967",8.49047617685228,"autumn"
"173","1968",10.3806977050249,"autumn"
"174","1969",10.1284444385105,"autumn"
"175","1970",9.95362068455794,"autumn"
"176","1971",10.1471974196707,"autumn"
"177","1972",10.780571433476,"autumn"
"178","1973",11.1474380611388,"autumn"
"179","1974",10.6472386176081,"autumn"
"180","1975",13.1242515227038,"autumn"
"181","1976",11.0997744359468,"autumn"
"182","1977",10.5821788256955,"autumn"
"183","1978",10.8974666531881,"autumn"
"184","1979",11.3970981985331,"autumn"
"185","1980",10.9343194876902,"autumn"
"186","1981",10.7932394502308,"autumn"
"187","1982",12.3886667370796,"autumn"
"188","1983",11.1659180010603,"autumn"
"189","1984",12.0362278077337,"autumn"
"190","1985",10.9522264318646,"autumn"
"191","1986",11.9510526556718,"autumn"
"192","1987",10.1712149504189,"autumn"
"193","1988",10.0330909989097,"autumn"
"194","1989",11.3501537909875,"autumn"
"195","1990",12.3763793254721,"autumn"
"196","1991",12.1516326528017,"autumn"
"197","1992",11.7109090693585,"autumn"
"198","1993",11.597241418115,"autumn"
"199","1994",12.993360042572,"autumn"
"200","1995",13.7387324454079,"autumn"
"201","1996",11.9485714566577,"autumn"
"202","1997",11.072089565334,"autumn"
"203","1998",10.9696116771513,"autumn"
"204","1999",14.4751140758245,"autumn"
"205","2000",13.0039105920231,"autumn"
"206","2001",12.7544827173496,"autumn"
"207","2002",13.2294038802154,"autumn"
"208","2003",13.0779816732494,"autumn"
"209","2004",12.2107272755016,"autumn"
"210","2005",12.3940800170898,"autumn"
"211","2006",14.2512903316047,"autumn"
"212","2007",12.239672172265,"autumn"
"213","2008",13.1074766176883,"autumn"
"214","2009",13.2507407974314,"autumn"
"215","2010",13.4809638333608,"autumn"
"216","2011",12.3320354149405,"autumn"
"217","2012",12.3745132505366,"autumn"
"218","2013",12.9591000318527,"autumn"
"219","2014",13.8078571600573,"autumn"
"220","2015",13.9252777806035,"autumn"
"221","2016",13.8044681701254,"autumn"
"222","2017",13.9652381624494,"autumn"
"223","2018",12.6302912721356,"autumn"
"224","2019",13.3900358167386,"autumn"
"225","2020",14.3584051282051,"autumn"
"226","2021",15.0999999458407,"autumn"
"227","2022",14.074585844617,"autumn"
"228","2023",13.9987499980927,"autumn"
"229","2024",11.6346371297782,"autumn"
"230","2025",15.6071941176471,"autumn"
