"","YEAR","strat.biomass"
"1",1968,0.989279480126142
"2",1969,1.21230630662451
"3",1970,1.26732907306484
"4",1971,1.20250075162706
"5",1972,0.571542309969842
"6",1973,0.341390930989196
"7",1974,0.291729181682405
"8",1975,0.0903461917175273
"9",1976,0.0900537654011224
"10",1977,0.253690824033854
"11",1978,0.151784442175025
"12",1979,0.30870193616181
"13",1980,0.351482847270141
"14",1981,0.121412679159969
"15",1982,0.663652679986963
"16",1983,0.288339927186996
"17",1984,0.0799820036172382
"18",1985,1.86380288343634
"19",1986,0.241012847836354
"20",1987,0.189086802384235
"21",1988,0.132062695240256
"22",1989,0.229176398146548
"23",1990,0.675722409696123
"24",1991,0.409176853451697
"25",1992,0.355058140673328
"26",1993,0.612492694443908
"27",1994,0.330008797806116
"28",1995,0.0213206003735502
"29",1996,0.290510956017502
"30",1997,1.62231914287785
"31",1998,0.595224195206268
"32",1999,1.55228023816237
"33",2000,0.789337556235337
"34",2001,0.314712604394391
"35",2002,1.36820397910945
"36",2003,0.455239914881054
"37",2004,0.0830871463152704
"38",2005,0.127358440770348
"39",2006,0.429827548973112
"40",2007,0.218758058446294
"41",2008,0.444125670261284
"42",2009,0.18619769783859
"43",2010,0.331397573615389
"44",2011,0.042066448021445
"45",2012,0.235666811588802
"46",2013,0.128256144421815
"47",2014,2.01725287865059
"48",2015,0.0282123500957694
"49",2016,0.678498123346105
"50",2017,0.0754063637461284
"51",2018,0.183486426771225
"52",2019,0.0669566409802878
"53",2020,0.117327402025551
"54",2021,0.0255195794991703
"55",2022,0.229424456326369
"56",2024,0.24729715479453
"57",2025,0.132367786796205
