time,val
1993,0.6097560975609756
1994,0.0
1995,4.2682926829268295
1996,1.676829268292683
1997,1.0670731707317074
1998,0.9146341463414633
1999,4.2682926829268295
2000,2.2865853658536586
2001,1.2195121951219512
2002,3.6585365853658534
2003,1.8292682926829267
2004,1.676829268292683
2005,0.6097560975609756
2006,3.201219512195122
2007,0.6097560975609756
2008,0.6097560975609756
2009,3.50609756097561
2010,0.7621951219512195
2011,1.9817073170731707
2012,1.9817073170731707
2013,0.7621951219512195
2014,5.335365853658536
2015,6.707317073170732
2016,3.201219512195122
2017,2.8963414634146343
2018,3.9634146341463414
2019,1.9817073170731707
2020,2.8963414634146343
2021,2.2865853658536586
2022,2.7439024390243905
2023,4.573170731707317
2024,4.725609756097561
2025,1.8292682926829267
