"","YEAR","n"
"1",1963,28
"2",1964,25
"3",1965,30
"4",1966,29
"5",1967,25
"6",1968,28
"7",1969,27
"8",1970,28
"9",1971,26
"10",1972,25
"11",1973,22
"12",1974,22
"13",1975,19
"14",1976,21
"15",1977,23
"16",1978,23
"17",1979,28
"18",1980,26
"19",1981,28
"20",1982,19
"21",1983,22
"22",1984,24
"23",1985,24
"24",1986,24
"25",1987,21
"26",1988,23
"27",1989,20
"28",1990,24
"29",1991,20
"30",1992,25
"31",1993,20
"32",1994,19
"33",1995,23
"34",1996,23
"35",1997,24
"36",1998,20
"37",1999,23
"38",2000,18
"39",2001,21
"40",2002,24
"41",2003,23
"42",2004,21
"43",2005,20
"44",2006,19
"45",2007,20
"46",2008,21
"47",2009,29
"48",2010,29
"49",2011,28
"50",2012,29
"51",2013,21
"52",2014,22
"53",2015,21
"54",2016,21
"55",2018,26
"56",2019,22
"57",2021,26
"58",2022,22
"59",2023,18
"60",2024,21
