"","YEAR","wt_mean_temp"
"1",1968,7.39038117296462
"2",1969,7.68679199803909
"3",1970,7.84160948103264
"4",1971,7.67508439381886
"5",1972,7.80780868912629
"6",1973,8.26554216761903
"7",1974,8.31578066696923
"8",1975,7.74524535384724
"9",1976,8.07328698553738
"10",1977,7.58154167471928
"11",1978,7.74885434999808
"12",1979,7.92444059852821
"13",1980,7.94315325020643
"14",1981,7.99607683081024
"15",1982,8.52496345039992
"16",1983,8.680926336725
"17",1984,7.50457841557286
"18",1985,7.58991851692377
"19",1986,8.47607296936176
"20",1987,7.92702560869887
"21",1988,7.83593025023027
"22",1989,7.45372971511231
"23",1990,7.93176285790902
"24",1991,7.94833144376615
"25",1992,7.77098078154196
"26",1993,7.40602567932112
"27",1994,7.86764168754087
"28",1995,7.84399712153003
"29",1996,7.77570287226035
"30",1997,8.64496201855301
"31",1998,7.53669886590481
"32",1999,7.74088434118866
"33",2000,7.73272482314057
"34",2001,8.31779948991861
"35",2002,10.8368270392272
"36",2003,7.95602533712495
"37",2004,7.85822103629204
"38",2005,8.18932140646488
"39",2006,8.92768851138818
"40",2007,8.74166890334577
"41",2008,8.55574372357125
"42",2009,8.2870888005516
"43",2010,8.58308131061489
"44",2011,8.11191610883253
"45",2012,9.50770137422168
"46",2013,8.70415352367165
"47",2014,11.0173519309797
"48",2015,9.38633813552179
"49",2016,13.1308807060263
"50",2017,10.1532461423589
"51",2018,9.13841692027355
"52",2019,9.73670808576738
"53",2020,8.44102168619878
"54",2021,9.09280498418228
"55",2022,11.6411010972544
"56",2024,10.6919416563058
"57",2025,10.3339978814907
