,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1997,,,,,,,,,0.6161972284317017,1.0328882932662964,1.2402688264846802,1.0158882141113281
1998,1.095542550086975,0.9801599383354187,1.4562166929244995,1.5034871101379395,0.9930128455162048,0.7640184760093689,0.7160680890083313,0.5034578442573547,0.596114993095398,1.0483922958374023,2.056229591369629,1.688786506652832
1999,1.39289128780365,1.2372920513153076,1.703278660774231,1.488345742225647,1.0294265747070312,0.6619396805763245,0.7006433010101318,0.9191942811012268,0.8254758715629578,1.2394918203353882,1.792240858078003,1.3740930557250977
2000,0.9943997263908386,0.9327980875968933,1.036934733390808,1.9352065324783325,1.6194783449172974,1.2103720903396606,1.4983632564544678,0.9756699800491333,0.8001092076301575,1.1026811599731445,1.4733097553253174,1.6897531747817993
2001,1.5105617046356201,1.5033204555511475,1.313550591468811,2.2915472984313965,1.316978096961975,1.3246557712554932,1.047570824623108,0.7262601852416992,0.5993618965148926,1.057021975517273,1.1819581985473633,1.2025253772735596
2002,1.228806972503662,1.212502360343933,1.376758337020874,1.4705073833465576,1.2917619943618774,0.9347978830337524,1.7986254692077637,1.4206904172897339,0.8432783484458923,0.8630850315093994,1.0472408533096313,0.8778871297836304
2003,1.0828183889389038,0.948642909526825,1.5420588254928589,1.6862883567810059,1.3146798610687256,0.8348475694656372,0.6778088808059692,1.838282585144043,0.9206925630569458,1.041281819343567,1.4569988250732422,1.2515521049499512
2004,1.4323686361312866,1.0865485668182373,1.1893305778503418,1.224105715751648,1.079001545906067,0.719118595123291,0.6603372097015381,0.7340924143791199,0.7585126757621765,1.2788817882537842,1.95525324344635,1.2105830907821655
2005,1.1767464876174927,1.0087871551513672,1.0239166021347046,1.2449820041656494,0.890953779220581,0.6941993832588196,0.6709960699081421,0.6087665557861328,0.7692117094993591,1.2245067358016968,2.6363632678985596,1.7318366765975952
2006,2.382932662963867,1.425955891609192,1.9321825504302979,1.5944626331329346,0.8301643133163452,0.9342612624168396,0.8825814127922058,1.2209956645965576,0.8191238045692444,1.1045361757278442,1.5658345222473145,1.2781623601913452
2007,1.3360826969146729,1.2005584239959717,1.2312557697296143,1.6333547830581665,1.745897650718689,1.2542396783828735,1.1402033567428589,0.8393995761871338,0.6964139342308044,1.1497136354446411,1.842379093170166,1.5075294971466064
2008,1.9449912309646606,1.1809535026550293,1.696799874305725,2.072192430496216,1.4538747072219849,0.846189558506012,0.8773786425590515,0.7845603227615356,0.6117152571678162,0.9478447437286377,1.175826907157898,1.2524648904800415
2009,1.094199299812317,1.201229214668274,1.2986223697662354,1.306814432144165,1.1063446998596191,0.8181309700012207,0.90980464220047,0.8252323269844055,0.787636399269104,1.3495447635650635,1.8250540494918823,1.3158713579177856
2010,1.2012546062469482,1.2247357368469238,1.1287429332733154,2.0492966175079346,1.1351227760314941,0.8113464117050171,0.9335087537765503,1.248582363128662,0.6232430934906006,1.3537945747375488,1.8412703275680542,1.4047518968582153
2011,1.3630636930465698,1.1397114992141724,1.7108346223831177,1.5541398525238037,1.1389925479888916,0.7060100436210632,0.6451402306556702,1.8875346183776855,2.0873172283172607,1.7682291269302368,2.3532562255859375,1.3590614795684814
2012,1.2425551414489746,1.3317019939422607,1.559310793876648,1.4557806253433228,1.021080732345581,0.8538790345191956,1.0018737316131592,0.896995484828949,0.8264252543449402,1.227935552597046,1.0242897272109985,1.0852508544921875
2013,1.0728296041488647,0.9208554625511169,1.1250851154327393,2.4440741539001465,1.5295592546463013,1.4190250635147095,1.1629877090454102,1.050136685371399,0.695967972278595,0.875296950340271,1.3210453987121582,1.040732979774475
2014,1.0915242433547974,1.1482819318771362,1.2104531526565552,1.2323567867279053,0.8861362338066101,0.6978754997253418,0.6533182859420776,0.663225531578064,0.6243841648101807,1.0324653387069702,1.7715370655059814,0.9340600371360779
2015,1.074230432510376,0.9213330149650574,1.1892192363739014,2.1702356338500977,1.0818092823028564,0.7541291117668152,1.0853450298309326,1.6382453441619873,1.4074602127075195,1.4651479721069336,1.2227253913879395,1.00038743019104
2016,1.2028231620788574,1.2633724212646484,1.3472126722335815,1.3665597438812256,1.3322726488113403,1.2284669876098633,1.2392934560775757,2.0269763469696045,0.8929349184036255,0.9524297714233398,1.1688687801361084,0.8623040318489075
2017,1.0768818855285645,1.1804436445236206,1.6236780881881714,1.5679587125778198,1.2531992197036743,1.245038390159607,1.6280910968780518,1.6166677474975586,0.994380533695221,1.4360382556915283,1.318790316581726,0.921587347984314
2018,1.401779294013977,1.1536929607391357,1.3600882291793823,1.3221979141235352,1.1735131740570068,1.0701192617416382,1.0686622858047485,0.9031540155410767,0.5405781269073486,1.0043634176254272,1.7705986499786377,1.137802004814148
2019,1.4401397705078125,1.1708282232284546,1.4399693012237549,1.3216241598129272,1.0477285385131836,1.0928552150726318,1.0089893341064453,1.1823097467422485,0.753350019454956,1.1702159643173218,1.4948415756225586,1.3703941106796265
2020,1.1778409481048584,1.0180604457855225,1.5323100090026855,1.2417079210281372,1.3617057800292969,0.8661583065986633,1.0211490392684937,0.7710545659065247,0.625667154788971,0.8793814182281494,1.27608323097229,1.2032151222229004
2021,1.2604182958602905,1.371923804283142,1.611024022102356,1.4417574405670166,0.9268440008163452,0.7880195379257202,0.6005287170410156,0.6354769468307495,0.6459609270095825,0.7819705605506897,1.4770827293395996,1.125506043434143
2022,1.101972222328186,1.2083733081817627,1.3878670930862427,1.7468827962875366,1.2047579288482666,1.3473711013793945,1.3926925659179688,0.6774774789810181,0.5685763955116272,1.0041829347610474,0.9933386445045471,1.1898106336593628
2023,1.0468809604644775,1.0499885082244873,1.076585292816162,1.441969633102417,1.1689001321792603,0.9842470288276672,1.0339984893798828,0.9751347303390503,0.7777007222175598,1.0779842138290405,1.4566757678985596,1.3041235208511353
2024,1.7196269035339355,1.508615255355835,1.4773013591766357,1.6976003646850586,1.1163380146026611,1.1696858406066895,1.233798861503601,0.8411282896995544,0.579388439655304,0.903091549873352,1.0955688953399658,1.0847911834716797
2025,1.0525882244110107,,,,,,,,,,,
