,Season,season_year,SA,CT,sigma,pea,month,year
0,Autumn,1975,32.2284954092602,18.332386926737026,22.97566155324428,142.50241806380373,9.577777777777778,1975.0
1,Autumn,1976,31.781410929610495,20.103560252522552,22.194493275717825,241.87112609912495,9.0,1976.0
2,Autumn,1977,33.94091143416168,18.612283235008974,24.162035426331887,246.40100165481158,9.442622950819672,1977.0
3,Autumn,1984,33.904800062990944,20.017699403437618,23.77960650012397,349.02800442876105,9.666666666666666,1984.0
4,Autumn,1985,33.51153672155592,25.22079991284659,22.052481645843404,512.4908321234451,9.0,1985.0
5,Autumn,1987,32.7009365624999,12.531585755504032,24.587938118439215,102.90763002170388,11.0,1987.0
6,Autumn,1988,31.96446739868093,11.466076516772926,24.224852479072158,11.935341722826886,11.0,1988.0
7,Autumn,1991,32.14828766269463,20.09489189687849,22.468173896858662,138.76603114905046,9.0,1991.0
8,Autumn,1992,32.097366833761086,19.117617657593236,22.67494060210836,107.65390207076297,9.063829787234043,1992.0
9,Autumn,1993,32.40512000362624,20.165692068492636,22.632996921258655,160.12593928632205,9.0,1993.0
10,Autumn,1994,32.866071559152886,19.046316831715806,23.276554328605048,162.78757304760057,9.0,1994.0
11,Autumn,1995,32.65887263255531,20.715044780656807,22.69306009209927,92.31813479896904,9.0,1995.0
12,Autumn,1996,31.593765901726787,17.40370141946246,22.709531363047052,124.01911034775101,9.0,1996.0
13,Autumn,1997,32.21757254853558,20.02778238752292,22.53472773826955,123.491092845027,9.32,1997.0
14,Autumn,1998,31.63061871367041,17.167039574553506,22.755430138882264,141.35890704749562,10.181818181818182,1998.0
15,Autumn,1999,32.826783587515095,18.221024958070927,23.434786836628202,95.69208207593721,10.04,1999.0
16,Autumn,2000,32.89040269138361,19.338379067176188,23.17382459706086,112.33996490275712,9.447761194029852,2000.0
17,Autumn,2001,32.86260699601686,20.088796310920316,22.979615920062344,140.00523384899475,9.5,2001.0
18,Autumn,2002,33.40199655618077,18.90609948529152,23.690355899742855,131.22998766365,9.695652173913043,2002.0
19,Autumn,2003,32.70854593571454,19.65152952567797,22.97567704439527,134.42028277176746,9.561643835616438,2003.0
20,Autumn,2004,32.68724311303881,18.110081590220602,23.33420039903942,89.79280561395132,9.675675675675675,2004.0
21,Autumn,2005,32.560863122711524,18.87021254188502,23.04552718886082,170.0051051417206,9.979166666666666,2005.0
22,Autumn,2006,32.71273130088903,18.67885298805295,23.217366557828647,104.6056956995952,9.615384615384615,2006.0
23,Autumn,2007,32.68029035965151,18.985389794396816,23.126231968127406,140.0808674779581,9.573170731707316,2007.0
24,Autumn,2008,32.58466710543907,18.595554861593044,23.140101470135498,117.97233902414143,9.447368421052632,2008.0
25,Autumn,2009,33.342850851785144,18.169343686256475,23.816821829159352,138.12290214017136,9.925925925925926,2009.0
26,Autumn,2010,32.92625763750786,18.102365932744732,23.52463542398124,164.06705270506876,9.901234567901234,2010.0
27,Autumn,2011,32.21556311725755,18.79692326973118,22.819082644915433,165.94099178607158,9.683544303797468,2011.0
28,Autumn,2012,33.018254586681856,19.045621514032597,23.3550479005768,178.56226836183015,9.625,2012.0
29,Autumn,2013,32.95180344059018,19.2695780716673,23.25751368089723,186.98531303513727,9.393939393939394,2013.0
30,Autumn,2014,34.213959659463505,19.4380493686949,24.15759177505667,130.3160682384069,9.717948717948717,2014.0
31,Autumn,2015,33.88695157740606,22.14427922830338,23.189026156072522,197.72489019930663,9.278481012658228,2015.0
32,Autumn,2016,33.556422391920044,21.070286633677664,23.261660836447852,188.01923317944005,9.5,2016.0
33,Autumn,2017,33.076666793431116,17.091009842895634,23.909895828729248,53.840511007503,11.0,2017.0
34,Autumn,2018,33.07029158835642,20.46636423137507,23.0162369494182,157.61010224192947,9.473684210526315,2018.0
35,Autumn,2019,33.623647139612984,20.459699028474574,23.46646344843213,159.21773805858862,9.380952380952381,2019.0
36,Autumn,2020,33.61309235769686,18.230607211676805,24.038653343568555,127.66738296434906,10.0,2020.0
37,Autumn,2021,33.541683974019634,21.90360336272676,23.022603179144973,201.0059902788285,9.3375,2021.0
38,Autumn,2022,33.520274063169175,20.220979384861753,23.431691036212502,153.67339042600557,9.621621621621621,2022.0
39,Autumn,2023,33.03099154145028,19.800455266695625,23.1908885895761,147.32738548478528,10.0,2023.0
40,Autumn,2024,32.67904645377274,21.997794375636296,22.35791243263431,269.4523341094167,9.0,2024.0
41,Autumn,2025,32.99490738416755,21.189904005127488,22.82029293978218,158.7685579403699,9.0,2025.0
42,Spring,1975,32.858135081882544,7.047098708175786,25.593365811004272,59.30024166934154,4.03125,1975.0
43,Spring,1976,32.112242683808425,10.077252825632389,24.54830032151317,98.27258777607368,4.606060606060606,1976.0
44,Spring,1977,32.646095401433634,9.130875766242387,25.131429745136817,82.06267074561023,4.679245283018868,1977.0
45,Spring,1978,31.761113340981538,7.098878172684814,24.698490666941478,64.5858057467466,4.197183098591549,1978.0
46,Spring,1979,31.861118801070425,7.032171105268535,24.793843351799502,66.222251625591,4.173333333333333,1979.0
47,Spring,1982,34.09579858050946,9.955512223769869,26.116407576845496,117.29496895913603,4.3,1982.0
48,Spring,1984,32.55419198796607,15.612214404541852,23.849156136146444,223.44503376988735,5.0,1984.0
49,Spring,1985,33.71265168587572,12.026694714280227,25.467441014482574,180.37921176922487,5.0,1985.0
50,Spring,1987,31.428941904993373,9.938770881198922,24.067966527943575,50.443063878513584,5.0,1987.0
51,Spring,1988,30.667848326185858,9.957090854174691,23.48004361927686,66.53301700027669,5.0,1988.0
52,Spring,1991,32.85577395144781,6.374504068705667,25.684112561524667,14.611628288357696,3.0,1991.0
53,Spring,1992,32.90898566930148,5.544430739313998,25.809424677957686,27.631142390049998,3.0483870967741935,1992.0
54,Spring,1993,32.56568738032574,5.9802823412807875,25.42537503277214,29.480439667405996,3.3666666666666667,1993.0
55,Spring,1994,32.32915959185325,4.431424018915876,25.462280925053918,19.269736671190618,3.0,1994.0
56,Spring,1995,33.633618909976214,7.815782540216905,26.060200401515782,10.030386026493732,3.0833333333333335,1995.0
57,Spring,1996,32.341086506219085,4.929589723712996,25.42875165462017,20.17863190310638,3.6666666666666665,1996.0
58,Spring,1997,31.77369555514302,6.521011784130847,24.802252437149,37.37453493982178,3.2181818181818183,1997.0
59,Spring,1998,31.755112185948473,8.106292154658382,24.508106179776203,46.90248535152229,3.610526315789474,1998.0
60,Spring,1999,32.072517627135184,6.2012290703280675,25.086370973245746,33.05677207734734,3.0384615384615383,1999.0
61,Spring,2000,32.872640678300506,8.574270753274046,25.34613242422746,35.782696897789364,3.621212121212121,2000.0
62,Spring,2001,32.52182844635326,7.071927598551084,25.283142953205193,30.861670975467835,3.5538461538461537,2001.0
63,Spring,2002,33.268366950221775,8.952065795106451,25.621652422830238,33.71478971329622,3.493150684931507,2002.0
64,Spring,2003,32.843421129050085,5.663180796143269,25.762582517253428,24.977577655775864,3.0576923076923075,2003.0
65,Spring,2004,32.819646526710955,6.883866434311049,25.4795311073346,38.84018398139343,3.5277777777777777,2004.0
66,Spring,2005,31.915853402086842,5.746146694768165,24.995655738592347,40.93254170014891,3.477272727272727,2005.0
67,Spring,2006,32.78592401753295,5.868067229305441,25.69449806019523,35.22614063025602,3.019607843137255,2006.0
68,Spring,2007,33.0569508666286,7.9250017756210225,25.592494313744044,47.369972008656696,3.4271844660194173,2007.0
69,Spring,2008,31.990316833241696,6.962975299637967,24.924260813896,24.23551381331229,3.5492957746478875,2008.0
70,Spring,2009,32.755618930532236,8.369807135292485,25.291890407668078,60.55895214768051,3.778947368421053,2009.0
71,Spring,2010,31.903192952260582,8.74828469043954,24.54463106808273,67.52961050908763,3.8222222222222224,2010.0
72,Spring,2011,32.322634553702734,7.827643284507543,25.01964077069269,59.17489865442919,3.65,2011.0
73,Spring,2012,32.83891209906736,10.669166581499546,25.005571822064436,69.09848720253207,3.169491525423729,2012.0
