"","YEAR","strat.biomass"
"1",1968,0.0407617565752293
"2",1969,0.187491749067698
"3",1970,0
"4",1971,0
"5",1972,0.402938079366137
"6",1973,0.314518521462045
"7",1974,1.94805127468267
"8",1975,1.81734568833022
"9",1976,4.86393375259893
"10",1977,1.76175846194724
"11",1978,0.84925244595411
"12",1979,0.7946201230734
"13",1980,0.389522084314642
"14",1981,1.45959751291207
"15",1982,0.419102343312589
"16",1983,0.690399961093442
"17",1984,0.204573003566254
"18",1985,0.0662501336633816
"19",1986,1.27965805901786
"20",1987,1.01498140023253
"21",1988,4.657441607637
"22",1989,3.07392997384384
"23",1990,0.687099950742577
"24",1991,0.557371021269506
"25",1992,1.196420005469
"26",1993,0.717318087923972
"27",1994,0.860120408731043
"28",1995,2.11313444304393
"29",1996,0.123367465522556
"30",1997,1.28046012034212
"31",1998,0.545494691289569
"32",1999,1.26015330547643
"33",2000,0.596938886711415
"34",2001,1.07701745556868
"35",2002,6.80985966727067
"36",2003,3.455747316564
"37",2004,0.91754497945126
"38",2005,0.593848585420466
"39",2006,0.506170808115329
"40",2007,0.5853336220324
"41",2008,2.1260728164925
"42",2009,1.76609706884954
"43",2010,1.69318677845989
"44",2011,0.127442800361854
"45",2012,2.94697443595601
"46",2013,0.533046940764026
"47",2014,0.184866066870133
"48",2015,1.14746464612876
"49",2016,2.44186568680196
"50",2017,0.338153782428613
"51",2018,0.309277319875061
"52",2019,0.395991373083423
"53",2020,0.281996444782398
"54",2021,0.537016718717357
"55",2022,1.02565248459965
"56",2024,0.828891823657659
"57",2025,1.06320944881314
