"","Year","Variable","Intercept","Val","Loc","N","season"
"1","1967","BT_insitu",8.26710630136715,-0.855335012763242,"NYB",10,"winter"
"2","1969","BT_insitu",8.26710630136715,0.420227145066985,"NYB",3,"winter"
"3","1970","BT_insitu",8.26710630136715,0.412565551044316,"NYB",18,"winter"
"4","1971","BT_insitu",8.26710630136715,-0.184461436740008,"NYB",85,"winter"
"5","1972","BT_insitu",8.26710630136715,0.883436045064899,"NYB",67,"winter"
"6","1973","BT_insitu",8.26710630136715,0.128540916698962,"NYB",34,"winter"
"7","1974","BT_insitu",8.26710630136715,1.7993591848374,"NYB",12,"winter"
"8","1975","BT_insitu",8.26710630136715,-0.259212360424003,"NYB",9,"winter"
"9","1976","BT_insitu",8.26710630136715,2.58580723325609,"NYB",122,"winter"
"10","1977","BT_insitu",8.26710630136715,1.77604443344367,"NYB",139,"winter"
"11","1978","BT_insitu",8.26710630136715,-1.21751611227257,"NYB",44,"winter"
"12","1979","BT_insitu",8.26710630136715,0.11035439279926,"NYB",209,"winter"
"13","1980","BT_insitu",8.26710630136715,0.575650018220679,"NYB",85,"winter"
"14","1981","BT_insitu",8.26710630136715,-0.416742932099856,"NYB",69,"winter"
"15","1982","BT_insitu",8.26710630136715,-1.5845711132746,"NYB",86,"winter"
"16","1983","BT_insitu",8.26710630136715,-0.692130753843723,"NYB",108,"winter"
"17","1984","BT_insitu",8.26710630136715,-0.531779613325045,"NYB",136,"winter"
"18","1985","BT_insitu",8.26710630136715,-1.01882060481778,"NYB",91,"winter"
"19","1986","BT_insitu",8.26710630136715,0.133800973168573,"NYB",66,"winter"
"20","1987","BT_insitu",8.26710630136715,0.581325600380146,"NYB",33,"winter"
"21","1988","BT_insitu",8.26710630136715,-0.627225678826792,"NYB",32,"winter"
"22","1989","BT_insitu",8.26710630136715,-0.716475403156024,"NYB",45,"winter"
"23","1990","BT_insitu",8.26710630136715,-1.2761952668828,"NYB",43,"winter"
"24","1991","BT_insitu",8.26710630136715,-0.200395726106188,"NYB",79,"winter"
"25","1992","BT_insitu",8.26710630136715,-0.37191288586499,"NYB",108,"winter"
"26","1993","BT_insitu",8.26710630136715,-0.83277050493231,"NYB",71,"winter"
"27","1994","BT_insitu",8.26710630136715,-1.03394606250349,"NYB",91,"winter"
"28","1995","BT_insitu",8.26710630136715,0.525793105234513,"NYB",88,"winter"
"29","1996","BT_insitu",8.26710630136715,-0.610379292404998,"NYB",69,"winter"
"30","1997","BT_insitu",8.26710630136715,-0.341757407935801,"NYB",55,"winter"
"31","1998","BT_insitu",8.26710630136715,-0.802251661731442,"NYB",75,"winter"
"32","1999","BT_insitu",8.26710630136715,0.663257136899096,"NYB",62,"winter"
"33","2000","BT_insitu",8.26710630136715,-0.231311313669128,"NYB",79,"winter"
"34","2001","BT_insitu",8.26710630136715,-0.573814396831369,"NYB",53,"winter"
"35","2002","BT_insitu",8.26710630136715,0.397795202223381,"NYB",108,"winter"
"36","2003","BT_insitu",8.26710630136715,-2.0861995074025,"NYB",66,"winter"
"37","2004","BT_insitu",8.26710630136715,-1.75252632455059,"NYB",44,"winter"
"38","2005","BT_insitu",8.26710630136715,-0.115098679054163,"NYB",75,"winter"
"39","2006","BT_insitu",8.26710630136715,0.484808291191057,"NYB",61,"winter"
"40","2007","BT_insitu",8.26710630136715,0.0993307889386428,"NYB",57,"winter"
"41","2008","BT_insitu",8.26710630136715,0.267043292902471,"NYB",93,"winter"
"42","2009","BT_insitu",8.26710630136715,-0.0746571077247751,"NYB",49,"winter"
"43","2010","BT_insitu",8.26710630136715,0.713628069044586,"NYB",75,"winter"
"44","2011","BT_insitu",8.26710630136715,1.12038523319732,"NYB",52,"winter"
"45","2012","BT_insitu",8.26710630136715,0.988361839791082,"NYB",59,"winter"
"46","2013","BT_insitu",8.26710630136715,0.756767954757938,"NYB",89,"winter"
"47","2014","BT_insitu",8.26710630136715,1.32310206917517,"NYB",41,"winter"
"48","2015","BT_insitu",8.26710630136715,-1.3281175857826,"NYB",5,"winter"
"49","2016","BT_insitu",8.26710630136715,-0.288279320654407,"NYB",10,"winter"
"50","2017","BT_insitu",8.26710630136715,-0.257218273405498,"NYB",20,"winter"
"51","2018","BT_insitu",8.26710630136715,-2.39144426824204,"NYB",40,"winter"
"52","2019","BT_insitu",8.26710630136715,-0.519688950684565,"NYB",22,"winter"
"53","2020","BT_insitu",8.26710630136715,0.702132072837256,"NYB",20,"winter"
"54","2022","BT_insitu",8.26710630136715,0.725007508998035,"NYB",12,"winter"
"55","2023","BT_insitu",8.26710630136715,5.01771149873576,"NYB",9,"winter"
"56","1967","BT_insitu",5.71627966548571,-1.81783546665907,"NYB",10,"spring"
"57","1968","BT_insitu",5.71627966548571,0.306311392433011,"NYB",1,"spring"
"58","1969","BT_insitu",5.71627966548571,-0.962790917855299,"NYB",22,"spring"
"59","1970","BT_insitu",5.71627966548571,-1.44904091353885,"NYB",195,"spring"
"60","1971","BT_insitu",5.71627966548571,-0.656509043100287,"NYB",208,"spring"
"61","1972","BT_insitu",5.71627966548571,0.0117684959157298,"NYB",107,"spring"
"62","1973","BT_insitu",5.71627966548571,0.568420139153973,"NYB",114,"spring"
"63","1974","BT_insitu",5.71627966548571,0.407092664154625,"NYB",88,"spring"
"64","1975","BT_insitu",5.71627966548571,0.368583896654854,"NYB",168,"spring"
"65","1976","BT_insitu",5.71627966548571,1.01962894492544,"NYB",205,"spring"
"66","1977","BT_insitu",5.71627966548571,-1.07129678296205,"NYB",269,"spring"
"67","1978","BT_insitu",5.71627966548571,-1.89350090685667,"NYB",281,"spring"
"68","1979","BT_insitu",5.71627966548571,-0.573387421518433,"NYB",300,"spring"
"69","1980","BT_insitu",5.71627966548571,-0.53350759058415,"NYB",212,"spring"
"70","1981","BT_insitu",5.71627966548571,-0.61842890688441,"NYB",183,"spring"
"71","1982","BT_insitu",5.71627966548571,-0.133317685052846,"NYB",245,"spring"
"72","1983","BT_insitu",5.71627966548571,-0.0773564449495099,"NYB",178,"spring"
"73","1984","BT_insitu",5.71627966548571,-0.537249803209912,"NYB",219,"spring"
"74","1985","BT_insitu",5.71627966548571,0.473669564197665,"NYB",86,"spring"
"75","1986","BT_insitu",5.71627966548571,0.770259056979458,"NYB",59,"spring"
"76","1987","BT_insitu",5.71627966548571,0.175749110326183,"NYB",254,"spring"
"77","1988","BT_insitu",5.71627966548571,-0.358047776279485,"NYB",73,"spring"
"78","1989","BT_insitu",5.71627966548571,-0.671850686156757,"NYB",48,"spring"
"79","1990","BT_insitu",5.71627966548571,0.279022494818871,"NYB",105,"spring"
"80","1991","BT_insitu",5.71627966548571,0.589361028704145,"NYB",173,"spring"
"81","1992","BT_insitu",5.71627966548571,-0.26902917806157,"NYB",94,"spring"
"82","1993","BT_insitu",5.71627966548571,-1.09927452247299,"NYB",89,"spring"
"83","1994","BT_insitu",5.71627966548571,-0.842282600072887,"NYB",78,"spring"
"84","1995","BT_insitu",5.71627966548571,0.511986937831546,"NYB",62,"spring"
"85","1996","BT_insitu",5.71627966548571,-0.765381968664023,"NYB",74,"spring"
"86","1997","BT_insitu",5.71627966548571,0.5881968490577,"NYB",90,"spring"
"87","1998","BT_insitu",5.71627966548571,-0.574267914664226,"NYB",125,"spring"
"88","1999","BT_insitu",5.71627966548571,0.712153309966389,"NYB",73,"spring"
"89","2000","BT_insitu",5.71627966548571,0.827701954627758,"NYB",68,"spring"
"90","2001","BT_insitu",5.71627966548571,-0.531313073893746,"NYB",88,"spring"
