"","YEAR","strat.biomass"
"1",1968,0.0879259392319482
"2",1969,0.00685314592650082
"3",1970,0.00783248292429496
"4",1971,0.0132346437622506
"5",1972,0
"6",1973,0.00596919050371541
"7",1974,0.227953571794244
"8",1975,0.024238728661426
"9",1976,0.0297407732684755
"10",1977,0.0127346657026629
"11",1978,0.00416369364839572
"12",1979,0.0429592607009674
"13",1980,0.0281991777770759
"14",1981,0.0450677031420025
"15",1982,0.0743452734876758
"16",1983,0.00984386216785385
"17",1984,0.00711217638897696
"18",1985,0.00948253389834661
"19",1987,0.0189253646405764
"20",1988,0.00718240650150032
"21",1989,0.00676226087598949
"22",1990,0.0100060832811999
"23",1991,0.188232262225242
"24",1992,0.0280557996285968
"25",1993,0.0690417048254963
"26",1994,0.0166328451370677
"27",1995,0.0405109366905487
"28",1996,0.00761944887435435
"29",1997,0.00558925507197678
"30",1998,0.0699847721263255
"31",1999,0.0400411120234053
"32",2000,0.0119321554379895
"33",2001,0.0158453029802239
"34",2002,0.00345108076536162
"35",2003,0.00248851200236413
"36",2004,0.0142306729185229
"37",2005,0.00100460279196789
"38",2006,0.0231625705289187
"39",2007,0.0342207798000614
"40",2008,0.00394306479247838
"41",2009,0.230589067372512
"42",2010,0.0267649235029208
"43",2011,0.0196520529866282
"44",2012,0.173793123643931
"45",2013,0.0054429303333095
"46",2014,0.055938598017679
"47",2015,0.0133833369749063
"48",2016,1.10643656130796
"49",2017,0.0857268822356488
"50",2018,0.0473435655570167
"51",2019,0.155897565334336
"52",2020,0.0966800138246054
"53",2021,0.301266435130422
"54",2022,0.063859794763196
"55",2024,0.0118137619935923
"56",2025,0.014738164030292
