sid,year,month,day,hour,time,lat,lon,x,y,p_cent,p_edge,depth,p_grad,DsqP,radius,area,Dp,DpDt,u,v,uv,Ege,Ely,Emg,Esp,Erg,id,pid,type,centers
0,1953,2,26,0,19414.0,41.19673322597113,-50.76788889791415,196,226,993.4400320202486,995.4400320202486,2.0,17.972990430562376,8.065212062248829,189.75986370816491,113125,,,,,,3,0,0,0,0,1,1,1,1
0,1953,2,26,3,19414.125,42.44743353082792,-47.754374230607326,207,221,987.7630994445126,995.7630994445126,8.0,23.12050021724147,12.695274445364557,415.79088125351103,543125,-5.676932575735991,-58.27553081771711,82.41568632176799,46.35717621762596,94.55862276260204,0,0,0,0,0,2,2,1,1
0,1953,2,26,6,19414.25,44.23839282656006,-45.0,219,219,981.7961089121934,995.7961089121934,14.0,28.259586906204625,20.888675980658736,444.9145541230864,621875,-5.966990532319178,-59.25722000568766,73.1388500043585,66.3818625041088,98.77167129027663,0,0,0,0,0,4,4,1,1
0,1953,2,26,9,19414.375,47.6485369013202,-43.24435719838156,233,225,976.809729309034,996.809729309034,20.0,31.771601253490317,7.265230491125403,496.4788194007604,774375,-4.986379603159439,-46.74617322372071,43.83712332879143,126.3969067467766,133.782926477548,0,0,0,0,0,5,5,1,1
0,1953,2,26,12,19414.5,49.497660779699615,-42.48061070879373,240,229,968.1387373798561,996.1387373798561,28.0,39.66220666010768,25.606249535779057,492.4554239078655,761875,-8.670991929177836,-79.00580993113667,18.38553455924785,68.53773133770055,70.9608941456357,0,0,0,0,0,3,3,1,1
0,1953,2,26,15,19414.625,51.327106706414014,-41.647592752896934,247,233,955.8986896882203,993.8986896882203,38.0,51.23294789223925,46.79765318049613,477.48241431401436,716250,-12.240047691635846,-108.61880427505497,19.293355283122114,67.80836854039775,70.49970497946201,0,0,0,0,0,2,2,1,1
0,1953,2,26,18,19414.75,52.28801592705213,-40.582490648464926,252,234,950.4788912053574,992.4788912053574,42.0,57.29758413154824,54.689778122378854,482.25010170349583,730625,-5.41979848286297,-47.46514199996488,24.148169589721277,35.61607676697873,43.03067532360213,0,0,0,0,0,3,3,1,1
0,1953,2,26,21,19414.875,54.04684779061141,-39.085053633568975,260,237,952.7760507046097,990.7760507046097,38.0,57.222751509705994,32.42197226376753,440.8718342681659,610625,2.2971594992523023,19.660581157048487,32.58619813837466,65.19106001619575,72.8816479996758,0,0,0,0,0,2,2,1,1
0,1953,2,27,0,19415.0,56.179780345678516,-38.449273528899305,267,243,953.0308803914999,987.0308803914999,34.0,55.45294660979118,32.45941605842301,419.60118659914343,553125,0.2548296868901525,2.125104894517394,13.116066313838468,79.05709299949245,80.1377261287055,0,0,0,0,0,2,2,1,1
0,1953,2,27,3,19415.125,58.15183802245969,-38.05403237923719,273,249,951.5250712880967,987.5250712880967,36.0,55.8059381896762,32.641612966392934,481.42433037557686,728125,-1.505809103403153,-12.28154494368292,7.730145484409997,73.0942695695072,73.5018870037357,0,0,0,0,0,1,1,1,1
0,1953,2,27,6,19415.25,59.60174662142866,-37.42532031684215,278,253,952.3398354034455,986.3398354034455,34.0,54.44459442772315,26.62097055152175,469.2873879654238,691875,0.8147641153488075,6.544534450283464,11.79154787411876,53.74082676788984,55.01924266076352,0,0,0,0,0,3,3,1,1
0,1953,2,27,9,19415.375,61.55179550553122,-36.915479004177946,284,259,953.0122097584588,1001.0122097584588,48.0,53.490219162011364,18.625616959872858,840.150089336754,2217500,0.6723743550133077,5.298102033294666,9.00195152872207,72.27851420702909,72.83693257751295,0,0,0,0,0,4,4,1,1
0,1953,2,27,12,19415.5,63.030419017485364,-36.82187101877438,288,264,959.8828811101371,979.8828811101371,20.0,46.76199840052115,13.145543715897148,318.2174296644016,318125,6.87067135167832,53.40986798733022,1.5735136784169026,54.805144315553925,54.827728283641825,0,0,0,0,0,4,4,1,1
0,1953,2,27,15,19415.625,64.18219217083684,-36.81977011750248,291,268,959.9333901626514,997.9333901626514,38.0,45.634844797996564,17.828040042433642,722.92810457058,1641875,0.05050905251438962,0.38873962694011405,0.03391317048266728,42.690443766029496,42.6904572362918,0,0,0,0,0,3,3,1,1
0,1953,2,27,18,19415.75,64.68798625432505,-37.02323121247337,292,270,962.9312816277852,998.9312816277852,36.0,43.65745555910052,24.833080320188454,703.2595435954387,1553750,2.9978914651337254,22.975845093000387,-3.22425365244222,18.747245336907987,19.02248720166491,0,0,0,0,0,3,3,1,1
0,1953,2,27,21,19415.875,65.00970990657142,-36.92165533683599,293,271,968.4883094927203,992.4883094927203,24.0,39.456671049762704,33.015833395800726,407.33159486258967,521250,5.557027864935081,42.47693472948693,1.5905401455222654,11.924679303784984,12.0302865490659,0,0,0,0,0,6,6,1,1
0,1953,2,28,0,19416.0,65.33113782379289,-36.81747700217859,294,272,976.276332017866,994.276332017866,18.0,32.22009127151621,17.776231440064876,395.43612832894667,491250,7.788022525145789,59.37593987155438,1.6116313913005387,11.913717892317928,12.02223064822671,0,0,0,0,0,8,8,1,1
0,1953,2,28,3,19416.125,65.33113782379289,-36.81747700217859,294,272,980.8687215049978,998.8687215049978,18.0,29.144227079509637,9.677981623532615,426.6538012972055,571875,4.592389487131731,35.01241055406266,0.0,0.0,0.0,0,0,0,0,0,6,6,1,1
0,1953,2,28,6,19416.25,65.46798364222457,-36.39551840690734,295,272,985.5626216251939,1001.5626216251939,16.0,25.577882066779335,7.90276671542837,427.58536092435946,574375,4.693900120196049,35.747216592963156,6.493694012075873,5.0721869140415965,8.239850848980513,0,0,0,0,0,5,5,1,1
