sid,year,month,day,hour,time,lat,lon,x,y,p_cent,p_edge,depth,p_grad,DsqP,radius,area,Dp,DpDt,u,v,uv,Ege,Ely,Emg,Esp,Erg,id,pid,type,centers
1,1952,7,29,0,19202.0,66.03775600398251,-27.168142371458522,311,265,1003.29510344376,1005.29510344376,2.0,10.202404313447731,2.0007302772182447,259.6957972998228,211875,,,,,,3,0,0,0,0,5,5,1,1
1,1952,7,29,3,19202.125,65.21589605636515,-27.381839949424986,309,262,1002.9442844063016,1006.9442844063016,4.0,10.806078719139789,1.601907978667441,407.57572529796937,521875,-0.3508190374584228,-2.6771253932666093,-3.32035566206464,-30.462218862470582,30.642642505953418,0,0,0,0,0,2,2,1,1
1,1952,7,29,6,19202.25,65.01178466913203,-25.98632561147023,311,260,1003.2543133724504,1009.2543133724504,6.0,10.297213113263693,2.0684918918291806,632.8298551387899,1258125,0.3100289661488205,2.3697663969732328,21.849718630345567,-7.565383576902212,23.122396780847176,0,0,0,0,0,2,2,1,1
1,1952,7,29,9,19202.375,65.20962451246942,-25.04840930523677,313,260,1003.7035634724281,1011.7035634724281,8.0,10.475851422650202,2.9067561727316935,752.5906282490386,1779375,0.44925009997765303,3.4284332298318607,14.57633175025507,7.332928955757218,16.316902106823974,0,0,0,0,0,2,2,1,1
1,1952,7,29,12,19202.5,65.44477507851302,-19.600690429223196,323,257,1004.2333091515729,1010.2333091515729,6.0,10.459051577750968,4.545988066405917,608.7955927281761,1164375,0.5297456791448348,4.035117102522104,83.88558820240326,8.715849980548283,84.33716825306978,0,0,0,0,0,3,3,1,1
1,1952,7,29,15,19202.625,65.4489932936755,-17.93528899405832,326,256,1003.8156469842744,1009.8156469842744,6.0,10.862808683357503,7.134044693789547,560.4748602101868,986875,-0.4176621672985493,-3.1812606275656465,25.64745826020256,0.15634804185412737,25.6479348080703,0,0,0,0,0,4,4,1,1
1,1952,7,29,18,19202.75,65.51869181722954,-17.432792499084364,327,256,1003.8221634445788,1009.8221634445788,6.0,11.206868668035026,9.19925887355792,540.2317807152436,916875,0.00651646030441043,0.0496072239212431,7.71812013859082,2.5833740712752635,8.13899257069685,0,0,0,0,0,5,5,1,1
1,1952,7,29,21,19202.875,65.36685974411105,-16.774666453939208,328,255,1004.8683981152635,1008.8683981152635,4.0,11.034592620875362,9.639091699355777,416.0300477278488,543750,1.0462346706847894,7.974218791418259,10.16729542380121,-5.6276520775673395,11.620859010460329,0,0,0,0,0,4,4,1,1
1,1952,7,30,0,19203.0,64.28503668028897,-17.639225270182738,325,251,1005.0023938031865,1009.0023938031865,4.0,11.685353830024466,6.04998546165436,423.846837920229,564375,0.13399568792287028,1.0303959196832395,-13.903974307641043,-40.097745408029425,42.439953915558,0,0,0,0,0,3,3,1,1
1,1952,7,30,3,19203.125,63.26334516868888,-19.50720452719691,320,248,1005.5037825701764,1009.5037825701764,4.0,11.788534145762897,2.7739064198147387,445.5847747703454,623750,0.501388766989985,3.889582870936103,-31.147786497916574,-37.86897089524678,49.033086384449035,0,0,0,0,0,4,4,1,1
1,1952,7,30,6,19203.25,62.872311673250955,-15.715820451456882,327,244,,,,11.420119519356287,,0.0,0,-0.16108023372493335,,64.06780001819483,-14.493646946928228,65.68674752941881,0,2,2,0,0,3,2,0,0
2,1952,7,27,15,19200.625,55.97053522379266,7.101271725514733,378,211,1001.6793758483836,1003.6793758483836,2.0,10.03733680571727,11.040148904452945,107.41849642478903,36250,-0.7918873450503452,-6.620038810883986,8.811129884570684,7.598592694710576,11.635059981920314,2,0,0,2,0,0,0,1,1
2,1952,7,27,18,19200.75,56.4060275615546,7.58183411785178,379,213,1000.5624553353914,1004.5624553353914,4.0,10.537449834783454,12.346493754978292,353.46376098143054,392500,-1.1169205129922193,-9.289847756893886,9.855447854903604,16.14151285056879,18.912384554196265,0,0,3,0,0,0,0,1,1
2,1952,7,27,21,19200.875,56.66875119053097,7.246148894670209,378,214,1000.4575242079275,1006.4575242079275,6.0,11.247592281598681,12.380119396765222,608.7955927281761,1164375,-0.10493112746393309,-0.870110576647971,-6.836696119055536,9.737844883939808,11.898152663669336,0,0,0,0,0,0,0,1,1
2,1952,7,28,0,19201.0,56.95744699879191,6.514210282999701,376,215,1000.4149315342668,1006.4149315342668,6.0,11.60664686534751,10.814051093957897,635.026642794686,1266875,-0.042592673660692526,-0.3520251996542902,-14.792491874929025,10.700503074055577,18.257014594607575,0,0,0,0,0,0,0,1,1
2,1952,7,28,3,19201.125,56.79678821248751,5.3009265165256885,373,214,999.841717068961,1005.841717068961,6.0,11.94947765077354,8.513401062740085,584.2836237069421,1072500,-0.5732144653057912,-4.74624925510008,-24.625887768938004,-5.954813985973727,25.3356302075926,0,0,0,0,0,0,0,1,1
2,1952,7,28,6,19201.25,55.918790897280836,4.017521043659287,370,210,999.7960677470804,1005.7960677470804,6.0,12.03400618580699,5.747940097020692,599.5758731877214,1129375,-0.04564932188062812,-0.3818533169192529,-26.655954071085688,-32.54294901950851,42.066416751681615,0,0,0,0,0,1,1,1,1
2,1952,7,28,9,19201.375,54.995730610614494,3.5414758640804025,369,206,1000.514182270439,1008.514182270439,8.0,12.010410070282248,5.04375700365279,928.987448201429,2711250,0.7181145233586722,6.073967598894928,-10.121585923894385,-34.213206954789875,35.678985856468216,0,0,0,0,0,0,0,1,1
2,1952,7,28,12,19201.5,53.76947424048006,4.509261473479929,372,201,1002.2196851290869,1008.2196851290869,6.0,9.276683727179933,2.751016874268098,889.6055049989573,2486250,1.7055028586478147,14.64840485990675,21.20084127734105,-45.45116237484046,50.15260543671805,0,0,0,0,0,1,1,1,1
2,1952,7,28,15,19201.625,53.25826659996931,5.1622402709453405,374,199,1001.944332024493,1007.944332024493,6.0,8.975088386188286,4.511670185696566,899.2808541193865,2540625,-0.2753531045939599,-2.380639876478179,14.478188404953633,-18.94789869557677,23.846190565102294,0,0,0,0,0,2,2,1,2
2,1952,7,28,18,19201.75,53.448148487654926,5.906141113770501,376,200,1001.881610838554,1007.881610838554,6.0,8.933904202050297,5.05422053638853,876.4254355604132,2413125,-0.06272118593886261,-0.5409377097764932,16.420827606395523,7.037967524110888,17.86551331894499,0,0,1,0,0,1,1,1,1
2,1952,7,28,21,19201.875,53.63146645621953,6.65739697294584,378,201,1002.2350768235533,1006.2350768235533,4.0,9.316916603716818,6.15324092248833,449.5851173323102,635000,0.3534659849992022,3.0412625911634943,16.511527113204874,6.794676022390224,17.854919486218478,0,0,0,0,0,1,1,1,1
2,1952,7,29,0,19202.0,53.86619868036454,6.699283155359604,378,202,1002.1806423590492,1008.1806423590492,6.0,9.754218201995043,7.327431635890535,749.9425178978621,1766875,-0.054434464504010974,-0.46695560984382717,0.9154732904964299,8.70034414830624,8.748375828951279,0,0,0,0,0,2,2,1,1
2,1952,7,29,3,19202.125,53.65814269671444,6.300513234584642,377,201,1002.1015246232247,1006.1015246232247,4.0,10.032119503589978,10.137382672070817,243.89374731754785,186875,-0.0791177358245477,-0.6805049848374501,-8.758878462180808,-7.71158994664485,11.669900231812129,0,0,0,0,0,0,0,1,1
