sid,year,month,day,hour,time,lat,lon,x,y,p_cent,p_edge,depth,p_grad,DsqP,radius,area,Dp,DpDt,u,v,uv,Ege,Ely,Emg,Esp,Erg,id,pid,type,centers
1,1975,2,25,0,27448.0,46.09878803993484,-85.64729686676401,169,345,992.356728985259,992.356728985259,0.0,9.854309905354931,2.5831656724971253,14.104739588693906,625,-0.03859001218341291,-0.3710561057897831,-12.12000636404824,46.338174875910425,47.89698325672532,2,0,0,2,0,5,5,1,1
1,1975,2,25,3,27448.125,46.82311272467013,-85.57792768891292,172,345,989.2406179535918,993.2406179535918,4.0,12.136065456870076,3.6971949199499066,363.1799266030658,414375,-3.1161110316670966,-29.6046721052028,1.7593285670472432,26.847076728661335,26.904660672111394,0,0,0,0,0,8,8,1,1
1,1975,2,25,6,27448.25,47.580675331061784,-86.1240952118189,175,347,984.4318065931133,990.4318065931133,6.0,16.09535569054278,4.520055250185615,409.7663541116445,527500,-4.808811360478575,-45.13026902890153,-13.655378775650403,28.07903948212674,31.223417938228923,0,0,0,0,0,7,7,1,1
1,1975,2,25,9,27448.375,48.0615014927944,-86.08175113593262,177,347,980.8757927422397,994.8757927422397,14.0,19.409106130003003,6.640153537699735,813.6857890256439,2080000,-3.556013850873569,-33.120075103466505,1.0489359493066617,17.82180992754766,17.85265178396151,0,0,0,0,0,6,6,1,1
1,1975,2,25,12,27448.5,48.30160060548062,-86.06023078706743,178,347,978.2839090570103,992.2839090570103,14.0,21.61867575099038,9.389071778887228,754.7024265166506,1789375,-2.5918836852294045,-24.05000228214482,0.5306051543207281,8.899267740855969,8.915071965678763,0,0,0,0,0,8,8,1,1
1,1975,2,25,15,27448.625,48.5414923626254,-86.03847311748977,179,347,976.9165711485737,988.9165711485737,12.0,23.488856693560326,9.54460726279096,672.0135050899297,1418750,-1.3673379084366024,-12.64044262376587,0.5339307344230162,8.891582112782752,8.907598694234023,0,0,0,0,0,9,9,1,1
1,1975,2,25,18,27448.75,49.20337593920085,-85.00936619653775,182,344,976.6602882956256,996.6602882956256,20.0,22.26066261245294,6.665626733301979,991.8550761007266,3090625,-0.2562828529480612,-2.345443842795272,24.92206640298312,24.532698581515113,34.97088351023139,0,0,2,0,0,8,8,1,2
1,1975,2,25,21,27448.875,48.942937951170784,-84.71875937155488,181,343,977.2359977244643,997.2359977244643,20.0,21.858028129892165,5.7874228601225335,1037.5375879156413,3381875,0.5757094288385997,5.289571144721343,7.074719740236896,-9.653127658153354,11.968063042426826,0,0,0,0,0,7,7,1,2
1,1975,2,26,0,27449.0,50.99631400947459,-74.53878225955809,195,314,978.4949033757069,1008.4949033757069,30.0,18.415376819979354,5.394873871910822,1481.80342273581,6898125,-0.6570005391081213,-5.857420143995083,-67.05334795735293,107.4611293975832,126.66509307498245,0,0,0,0,2,3,3,1,2
1,1975,2,26,3,27449.125,53.701156296725195,-77.49070055686789,204,325,976.2475608160108,1010.2475608160108,34.0,20.525938499387596,3.763933699960835,1565.0541761179609,7695000,-2.2473425596961167,-19.319107558535187,-64.7673743680136,100.25491323864375,119.35602377347534,0,0,1,0,0,4,4,1,1
1,1975,2,26,6,27449.25,54.22978100988721,-76.18497465873838,207,322,974.2168523268957,1012.2168523268957,38.0,22.53641364431488,2.2812635388766647,1671.5157869365826,8777500,-2.030708489115059,-17.340054490252477,28.28921069480717,19.593462067517017,34.41196300018964,0,0,0,0,0,4,4,1,1
1,1975,2,26,9,27449.375,54.62234669828703,-77.17121712854458,208,325,972.6089949382675,1012.6089949382675,40.0,24.66883298939266,4.19358702415535,1685.5606420028905,8925625,-1.607857388628181,-13.66224646424714,-21.16385711624619,14.55043764159618,25.683147852217484,0,0,0,0,0,4,4,1,1
1,1975,2,26,12,27449.5,54.79870641646055,-75.19985807114352,210,320,971.5599088453739,1013.5599088453739,42.0,25.997122555933366,3.7987979843207724,1698.4941233985674,9063125,-1.0490860928937036,-8.894869728264498,42.11893353250327,6.536768641786607,42.62316161656328,0,0,0,0,0,5,5,1,1
1,1975,2,26,15,27449.625,55.48091941453489,-74.91047557434506,213,320,971.7056685643443,1011.7056685643443,40.0,26.385888496178545,3.4591104668896886,1610.4129276935264,8147500,0.14575971897036652,1.2256426399958618,6.078186916628153,25.28620809228021,26.006473730199694,0,0,0,0,0,6,6,1,1
1,1975,2,26,18,27449.75,55.82801187649894,-75.54757174890703,214,322,971.8717699158773,1007.8717699158773,36.0,26.64467108753568,3.3552059608824494,1477.702885975663,6860000,0.1661013515329978,1.3909186914989577,-13.263414223031445,12.864973615657421,18.47770827194959,0,0,0,0,0,8,8,1,1
1,1975,2,26,21,27449.875,55.94230254788213,-76.28850646056748,214,324,973.2653765857727,1007.2653765857727,34.0,26.337607916285677,5.1252291815871285,1463.0225701974414,6724375,1.3936066698955256,11.654185617927304,-15.379807931055483,4.236180940203469,15.95254590823359,0,0,0,0,0,8,8,1,1
1,1975,2,27,0,27450.0,56.17031638100529,-76.19723437386382,215,324,976.7355485434689,1006.7355485434689,30.0,24.481673191495503,6.2278323655085845,1413.573595720699,6277500,3.470171957696148,28.942058362712785,1.8834028038524817,8.451327149358425,8.65864520043651,0,0,0,0,0,6,6,1,1
1,1975,2,27,3,27450.125,56.22555550467124,-76.57177055177729,215,325,976.8176737785443,1000.8176737785443,24.0,25.215443644418936,8.01968519387432,1168.2267061717955,4287500,0.08212523507536389,0.684502004176318,-7.717437103392032,2.0474367679817456,7.984411860850837,0,0,0,0,0,6,6,1,1
1,1975,2,27,6,27450.25,56.22555550467124,-76.57177055177729,215,325,978.07542020548,998.07542020548,20.0,24.26776205255421,7.6796737566251245,1068.5213020831566,3586875,1.2577464269357734,10.48313528957439,0.0,0.0,0.0,0,0,0,0,0,5,5,1,1
1,1975,2,27,9,27450.375,56.050638996069296,-77.03414614718993,214,326,979.9548737931586,995.9548737931586,16.0,23.48016046209064,7.160499502416133,982.990055009037,3035625,1.8794535876785812,15.697097507433902,-9.570835621256363,-6.48327611430548,11.56000707886607,0,0,0,0,0,4,4,1,1
