sid,year,month,day,hour,time,lat,lon,x,y,p_cent,p_edge,depth,p_grad,DsqP,radius,area,Dp,DpDt,u,v,uv,Ege,Ely,Emg,Esp,Erg,id,pid,type,centers
0,1994,12,26,0,34692.0,45.5117070129052,-55.52960809915056,200,250,989.069112879684,991.069112879684,2.0,16.021175409777186,5.02872254523958,162.6637921881437,83125,-1.5960430168009772,-15.500152563221818,67.64352401222848,23.242968955886692,71.52539371913477,2,0,0,2,0,3,3,1,1
0,1994,12,26,3,34692.125,46.08356029726695,-52.4405475116139,208,243,986.8617554089868,994.8617554089868,8.0,17.107762541785764,6.928872420761326,641.8818886128071,1294375,-2.20735747069717,-21.229924365171716,79.41038124626151,21.19572800201796,82.190434572474,0,0,2,0,0,3,3,1,2
0,1994,12,26,6,34692.25,47.14167126921235,-50.214070929424395,216,240,983.9731455608561,991.9731455608561,8.0,18.748254822640263,6.646014661158478,563.4839052433807,997500,-2.888609848130727,-27.30128821227916,56.130133303153976,39.21885730242427,68.47416032882589,0,0,0,0,0,3,3,1,2
0,1994,12,26,9,34692.375,47.94580581604225,-48.09405805891711,223,237,981.2081105216209,991.2081105216209,10.0,20.236118906780625,6.175132414522523,626.6696275385075,1233750,-2.765035039235081,-25.79990007906596,52.63265039357358,29.805227315701938,60.48592780798527,0,0,0,0,0,3,3,1,2
0,1994,12,26,12,34692.5,49.02468296054075,-45.90578666011065,231,235,979.0828021363498,991.0828021363498,12.0,21.355322505388596,6.41271749132844,699.7145087008294,1538125,-2.1253083852712007,-19.502942674117453,53.183565758445184,39.98855498033384,66.54003453709687,0,0,0,0,0,3,3,1,1
0,1994,12,26,15,34692.625,49.70252967025851,-44.079665033150945,237,233,975.9240284533255,981.9240284533255,6.0,22.429034288254304,7.777362306398208,301.8546089098361,286250,-3.1587736830243376,-28.69373987608503,43.774708452987504,25.12437172110724,50.47236030268873,0,0,0,0,0,5,5,1,1
0,1994,12,26,18,34692.75,50.187578001422466,-42.90474743537616,241,232,973.1966834887562,985.1966834887562,12.0,23.251986068061157,8.449438369996278,573.2843600559532,1032500,-2.727344964569202,-24.599010494812642,27.882648939510727,17.97830453428046,33.176219582877856,0,0,0,0,0,4,4,1,1
0,1994,12,26,21,34692.875,50.946059253357085,-40.728577982616095,248,230,971.6611962230057,985.6611962230057,14.0,23.78760722572702,9.326981821626905,639.3975759003987,1284375,-1.535487265750562,-13.699214109481051,50.81792264571007,28.11308905671439,58.07587311729482,0,0,0,0,0,4,4,1,1
0,1994,12,27,0,34693.0,50.946059253357085,-40.728577982616095,248,230,968.1448797053777,986.1448797053777,18.0,27.269082877694053,9.029580333222693,728.0013464932681,1665000,-3.5163165176280016,-31.371652455967734,0.0,0.0,0.0,0,0,0,0,0,4,4,1,1
0,1994,12,27,3,34693.125,51.255422559097376,-40.21651905123254,250,230,964.5206763560028,984.5206763560028,20.0,30.008100648234397,12.373867437487862,722.1020580948527,1638125,-3.624203349374875,-32.19362727678089,11.878259389413852,11.466543362770171,16.509835335716918,0,0,0,0,0,4,4,1,1
0,1994,12,27,6,34693.25,51.377774104346294,-39.4801536551343,252,229,959.5353924310539,985.5353924310539,26.0,34.06283976153123,14.702074641141152,832.5381535792845,2177500,-4.98528392494889,-44.20838990775044,17.03597530458966,4.534957032933598,17.62924530061178,0,0,0,0,0,5,5,1,1
0,1994,12,27,9,34693.375,51.82777469643294,-38.68656947564386,255,229,954.6024938390107,986.6024938390107,32.0,38.526197710167054,19.78277931660472,904.9045155196218,2572500,-4.932898592043203,-43.47241352568341,18.178677414428016,16.67926094236102,24.671077360366837,0,0,0,0,0,3,3,1,1
0,1994,12,27,12,34693.5,51.893237347882604,-37.45347737556429,258,227,951.7320691747227,987.7320691747227,36.0,41.37961603872797,17.773203716603312,951.4167009439948,2843750,-2.8704246642880027,-25.273657509352294,28.205241679448605,2.4263715753013537,28.309414286020388,0,0,0,0,0,2,2,1,1
0,1994,12,27,15,34693.625,52.27221551973793,-36.142041236371654,262,226,946.9724443710703,988.9724443710703,42.0,44.550043695366924,14.268598697858978,1048.599882264981,3454375,-4.759624803652405,-41.69240960715625,29.74356023832593,14.046816673113698,32.89365340455493,0,0,0,0,0,1,1,1,1
0,1994,12,27,18,34693.75,53.09408248782492,-34.42647658143908,268,226,942.562622760307,988.562622760307,46.0,47.68408748240046,12.655661702499781,1056.3498922009937,3505625,-4.40982161076332,-38.20819808511265,38.183477720437644,30.462479076006545,48.84609096215678,0,0,0,0,0,1,1,1,1
0,1994,12,27,21,34693.875,53.687802590875584,-33.739933291903775,271,227,939.5791418458939,989.5791418458939,50.0,50.47066260031586,12.34346694260028,1100.8024109557166,3806875,-2.983480914413085,-25.651656516599182,15.069094833015821,22.00622110203941,26.671171445556507,0,0,0,0,0,2,2,1,1
0,1994,12,28,0,34694.0,53.948215809294126,-33.137715159666186,273,227,939.2243592223906,989.2243592223906,50.0,50.19789421451488,10.825716779024514,1098.2693317022477,3789375,-0.35478262350326983,-3.0402602871892928,13.136348603155012,9.652209573107598,16.301190271474123,0,0,0,0,0,2,2,1,1
0,1994,12,28,3,34694.125,53.9303075469098,-31.83274830512222,276,225,939.16032915874,989.16032915874,50.0,49.162677699980996,6.945588527328145,1115.7018412898162,3910625,-0.06403006365071633,-0.5488216079791364,28.477503192583995,-0.663769307385338,28.485237892232153,0,0,0,0,0,2,2,1,1
0,1994,12,28,6,34694.25,54.4195591188582,-30.586402298815067,280,225,939.0662647233656,991.0662647233656,52.0,48.61997008775498,6.889847360282436,1203.1268459396906,4547500,-0.09406443537431187,-0.8013008470272307,26.878452509909128,18.13409755117921,32.42370588509469,0,0,0,0,0,2,2,1,1
0,1994,12,28,9,34694.375,54.36374055093811,-29.267995214892697,283,223,939.4693611477927,991.4693611477927,52.0,48.05754291097151,7.699609268421699,1209.7229855342825,4597500,0.40309642442705806,3.436228978536279,28.471168525904865,-2.068913855093201,28.54624041393669,0,0,0,0,0,1,1,1,1
0,1994,12,28,12,34694.5,54.70435064365734,-28.30075576600638,286,223,941.0916611756563,991.0916611756563,50.0,46.61319900082807,6.871604967313906,1197.7407350067758,4506875,1.6223000278636754,13.770986917328917,20.714218454953535,12.624704758103949,24.258236053530975,0,0,0,0,0,1,1,1,1
0,1994,12,28,15,34694.625,54.82461630712387,-27.145451666080767,289,222,941.5804545756394,991.5804545756394,50.0,45.12599846487522,5.96109569852466,1237.7662424457849,4813125,0.4887933999829693,4.14300363741802,24.668276667936027,4.4576438756732575,25.067797324219857,0,0,0,0,0,1,1,1,1
0,1994,12,28,18,34694.75,54.920779366460856,-25.151653981103138,294,220,943.1894189567752,989.1894189567752,46.0,43.055916857791985,4.936288155649382,1166.8635473572583,4277500,1.6089643811358838,13.621458458077653,42.46955867806931,3.5642814429642353,42.618863388347556,0,0,0,0,0,0,0,1,1
