"","month","mean_monthly_spd","vol_transport"
"1",4,0.262297520661157,4721.35537190083
"2",5,0.256882686980609,4623.88836565097
"3",6,0.0775161471496771,1395.29064869419
"4",7,0.209751061789286,3775.51911220715
"5",8,0.169651234984478,3053.72222972061
"6",9,0.212033253148436,3816.59855667186
"7",10,0.234456810403833,4220.22258726899
"8",11,0.204863921842289,3687.5505931612
"9",12,0.302876308900524,5451.77356020942
