Estimate Status,Year,Common Name,PSE Harvest,Does Landing (A+B1) Meet MRIP Standard,Is Landing (A+B1) Significantly Different From 0,Total Harvest (A+B1),Landing (A+B1) Lower 95% Confidence Limit,Landing (A+B1) Upper 95% Confidence Limit,PSE Released,Does Released Alive (B2) Meet MRIP Standard,Is Released Alive (B2) Significantly Different From 0,Released (B2),Released Alive (B2) Lower 95% Confidence Limit,Released Alive (B2) Upper 95% Confidence Limit
FINAL,1981,ALL SPECIES,12.4,YES,YES,37502539,28387922,46617156,10.5,YES,YES,15221857,12089199,18354516
FINAL,1982,ALL SPECIES,12.1,YES,YES,27157522,20716844,33598200,11.9,YES,YES,10627049,8148396,13105701
FINAL,1983,ALL SPECIES,13.6,YES,YES,35883386,26318311,45448461,10.7,YES,YES,15628282,12350719,18905845
FINAL,1984,ALL SPECIES,12.2,YES,YES,39844483,30316870,49372096,8.3,YES,YES,27761390,23245167,32277613
FINAL,1985,ALL SPECIES,9.5,YES,YES,40960383,33333560,48587206,9.5,YES,YES,21730116,17683969,25776264
FINAL,1986,ALL SPECIES,7.8,YES,YES,37512610,31777682,43247538,6.5,YES,YES,23470746,20480573,26460919
FINAL,1987,ALL SPECIES,10.2,YES,YES,31794517,25438157,38150877,13.8,YES,YES,26364178,19233195,33495161
FINAL,1988,ALL SPECIES,7.9,YES,YES,19517306,16495246,22539366,7.9,YES,YES,13237712,11187984,15287439
FINAL,1989,ALL SPECIES,8.6,YES,YES,30084658,25013588,35155728,8.6,YES,YES,15608188,12977272,18239104
FINAL,1990,ALL SPECIES,9.8,YES,YES,27138419,21925672,32351167,6.6,YES,YES,15154456,13194075,17114836
FINAL,1991,ALL SPECIES,7.1,YES,YES,29860350,25704984,34015716,7.8,YES,YES,19743774,16725346,22762202
FINAL,1992,ALL SPECIES,9.4,YES,YES,14459293,11795313,17123273,5.4,YES,YES,12302419,11000331,13604507
FINAL,1993,ALL SPECIES,8.6,YES,YES,12293687,10221463,14365911,5.9,YES,YES,17174014,15188011,19160017
FINAL,1994,ALL SPECIES,15.6,YES,YES,17463208,12123658,22802759,6.6,YES,YES,15633323,13610996,17655649
FINAL,1995,ALL SPECIES,17.2,YES,YES,8121106,5383319,10858893,7.2,YES,YES,11667872,10021302,13314442
FINAL,1996,ALL SPECIES,19.7,YES,YES,8546582,5246576,11846588,8.3,YES,YES,13529385,11328425,15730346
FINAL,1997,ALL SPECIES,10.5,YES,YES,8681481,6894832,10468130,9.4,YES,YES,13385005,10918951,15851058
