"","Year","Variable","Intercept","Val","Loc","N","season"
"75",2016,"BT_insitu",4.8623337615225,0.914348777976282,"NYB",30,"winter"
"76",2017,"BT_insitu",4.8623337615225,0.149780534877576,"NYB",78,"winter"
"77",2018,"BT_insitu",4.8623337615225,-0.889463001524886,"NYB",46,"winter"
"78",2019,"BT_insitu",4.8623337615225,0.34670679064283,"NYB",74,"winter"
"79",2020,"BT_insitu",4.8623337615225,1.36487053941857,"NYB",36,"winter"
"80",2021,"BT_insitu",4.8623337615225,0.973955399664193,"NYB",56,"winter"
"81",2022,"BT_insitu",4.8623337615225,1.28118912590024,"NYB",63,"winter"
"82",1941,"BT_insitu",6.68070736663698,-1.54219104189006,"NYB",34,"spring"
"83",1942,"BT_insitu",6.68070736663698,1.4143687183526,"NYB",91,"spring"
"84",1943,"BT_insitu",6.68070736663698,0.153884728833976,"NYB",18,"spring"
"85",1944,"BT_insitu",6.68070736663698,0.610483267780216,"NYB",18,"spring"
"86",1945,"BT_insitu",6.68070736663698,1.73822102925326,"NYB",30,"spring"
"87",1946,"BT_insitu",6.68070736663698,-0.368085413142543,"NYB",210,"spring"
"88",1947,"BT_insitu",6.68070736663698,-0.39605490990392,"NYB",69,"spring"
"89",1948,"BT_insitu",6.68070736663698,-0.94700274770791,"NYB",96,"spring"
"90",1949,"BT_insitu",6.68070736663698,2.56985674570409,"NYB",18,"spring"
"91",1950,"BT_insitu",6.68070736663698,-0.0912494615261352,"NYB",69,"spring"
"92",1951,"BT_insitu",6.68070736663698,-0.328036644018067,"NYB",56,"spring"
"93",1952,"BT_insitu",6.68070736663698,-0.793412248359123,"NYB",15,"spring"
"94",1953,"BT_insitu",6.68070736663698,2.14902710953606,"NYB",57,"spring"
"95",1954,"BT_insitu",6.68070736663698,1.55294371397025,"NYB",38,"spring"
"96",1955,"BT_insitu",6.68070736663698,-1.29146755418945,"NYB",33,"spring"
"97",1956,"BT_insitu",6.68070736663698,-0.00276684408733563,"NYB",48,"spring"
"98",1957,"BT_insitu",6.68070736663698,1.78511317097238,"NYB",40,"spring"
"99",1958,"BT_insitu",6.68070736663698,-0.537071470885295,"NYB",83,"spring"
"100",1959,"BT_insitu",6.68070736663698,0.570190723349214,"NYB",180,"spring"
"101",1960,"BT_insitu",6.68070736663698,-2.3620457445135,"NYB",803,"spring"
"102",1961,"BT_insitu",6.68070736663698,-0.109637296286678,"NYB",36,"spring"
"103",1962,"BT_insitu",6.68070736663698,-0.166328198616024,"NYB",35,"spring"
"104",1963,"BT_insitu",6.68070736663698,0.652537829348672,"NYB",116,"spring"
"105",1964,"BT_insitu",6.68070736663698,-0.849710515784675,"NYB",83,"spring"
"106",1965,"BT_insitu",6.68070736663698,-0.468020297225097,"NYB",52,"spring"
"107",1966,"BT_insitu",6.68070736663698,-1.58114548979092,"NYB",120,"spring"
"108",1967,"BT_insitu",6.68070736663698,0.688394703151815,"NYB",74,"spring"
"109",1968,"BT_insitu",6.68070736663698,0.431496704303456,"NYB",33,"spring"
