,,,,,,,
Year,NMFS Name,Pounds,Metric Tons,Dollars,Deflated Dollars,Confidentiality,Collection
1951,BLUEFISH,"191,100",87,"44,834","419,009",Public,Commercial
1951,"BONITO, ATLANTIC",500,0,72,673,Public,Commercial
1951,BOWFIN,"6,200",3,616,"5,757",Public,Commercial
1951,BURBOT,"6,500",3,79,738,Public,Commercial
1951,"CARP, COMMON","32,500",15,"2,359","22,047",Public,Commercial
1951,"CATFISHES, FORKTAIL **","79,000",36,"19,751","184,589",Public,Commercial
1951,"CATFISHES-BULLHEADS, OTHER **","72,000",33,"7,346","68,654",Public,Commercial
1951,CHUBS **,"38,900",18,"16,329","152,607",Public,Commercial
1951,"CLAM, SOFT","39,100",18,"17,136","160,150",Public,Commercial
1951,"CLAM, SURF, ATLANTIC","4,046,100","1,835","421,474","3,939,009",Public,Commercial
1951,"CLAMS, QUAHOG, MERCENARIA **","7,072,200","3,208","2,518,318","23,535,682",Public,Commercial
1951,"COD, ATLANTIC","1,941,100",880,"258,976","2,420,336",Public,Commercial
1951,"CONCHS, TRUE **","50,000",23,"11,250","105,140",Public,Commercial
1951,"CRAB, BLUE","7,000",3,"2,240","20,935",Public,Commercial
1951,CRAPPIES **,,,5,47,Public,Commercial
1951,"DRUM, FRESHWATER",200,0,14,131,Public,Commercial
1951,"EEL, AMERICAN","376,100",171,"68,615","641,262",Public,Commercial
1951,"EEL, CONGER","11,100",5,715,"6,682",Public,Commercial
1951,"FLOUNDER, AMERICAN PLAICE","62,400",28,"4,450","41,589",Public,Commercial
1951,"FLOUNDER, SUMMER","2,635,600","1,196","485,597","4,538,290",Public,Commercial
1951,"FLOUNDER, WINTER","1,005,500",456,"119,849","1,120,084",Public,Commercial
1951,"FLOUNDER, WITCH","14,400",7,"1,500","14,019",Public,Commercial
1951,"FLOUNDER, YELLOWTAIL","768,100",348,"94,428","882,505",Public,Commercial
1951,GOOSEFISH,"54,400",25,"3,011","28,140",Public,Commercial
1951,HADDOCK,"809,600",367,"80,372","751,140",Public,Commercial
1951,"HAKE, RED","324,100",147,"15,068","140,822",Public,Commercial
1951,"HAKE, SILVER","683,900",310,"49,161","459,449",Public,Commercial
1951,"HAKE, WHITE","39,700",18,"4,000","37,383",Public,Commercial
1951,"HALIBUT, ATLANTIC","1,400",1,375,"3,505",Public,Commercial
1951,HARVESTFISHES **,"1,877,700",852,"200,222","1,871,234",Public,Commercial
