Waypoint,Latitude,Longitude,Depth
8.1,40.5697222,-73.40583333,16.2
8.2,40.3013889,-73.220833,36
8.3,40.08,-73.07,45.8
8.4,39.8413889,-72.9075,61
8.5,39.6022222,-72.746111,65
8.6,39.3616667,-72.585278,124
8.7,39.1158333,-72.42,995
9.1,40.665,-72.981944,15.7
9.2,40.4289815,-72.834815,41.7
9.3,40.2185185,-72.690463,54.7
9.4,39.9967593,-72.538889,65
9.5,39.7740741,-72.38787,85.5
9.6,39.5498148,-72.23713,139
9.7,39.3221297,-72.083333,"1,500"
10.1,40.7758333,-72.576667,23
10.2,40.5565741,-72.448796,44.7
10.3,40.357037,-72.310926,56.7
10.4,40.1521296,-72.170278,66.5
10.5,39.9459259,-72.02963,89.2
10.6,39.737963,-71.888981,254
10.7,39.5284261,-71.746667,"1,430"
11.1,40.8908333,-72.207222,24.6
11.2,40.6841667,-72.062778,49.3
11.3,40.4955556,-71.931389,64.1
11.4,40.3075,-71.801667,72.1
11.5,40.1177778,-71.671389,83.7
11.6,39.9261111,-71.540833,155
11.7,39.7347222,-71.41,"1,340"
LIS,40.96,-73.58,17.97
