Year ,Month,Day,Hour,Minute,Second,Cruise,Station,Bot.depth [m],Cast,Niskin_Bottle#,Longitude,Latitude,Pressure [db],Depth [m],Temp [°C],Salinity,pH_CTD,Flouresence,PAR%,Density [g/L],pTemp [°C],Sigma_Density [g/L],DO [mg/L],DO [umol/kg],DO_solubility [mg/L],DO_solubility [umol/kg],DO%,Bottle ID,Flag_TA,TA [umol/kg],Flag_DIC,DIC [umol/kg],Flag_pH_Spec,pH_Spec [25 degC],pH_from_DIC-TA [25 degC],pH_from_DIC-TA_in situ ,fCO2 [uatm],pCO2 [uatm],HCO3 [umol/kg SW],CO3 [umol/kg SW],CO2 [umol/kg SW],B-Alk [umol/kg SW],OH [umol/kg SW],P-Alk [umol/kg SW],Si-Alk [umol/kg SW],Revelle_factor,ΩCa,ΩAr,pH_from_SpecpH-TA_in situ 
2024,9,,,,,NYOS2409,8.3,41,C06,2,-73.07122833,40.07918,26.02,25.819,15.4397,31.8242,8.134,0.7683,1.69E-11,1023.5454,15.4358,23.4305,8.9979,274.751,8.22328,251.09766,109.421,C022,,2169.62465,,1987.325023,,,7.874603496,8.015627239,416.8868281,418.389273,1837.494187,134.144884,15.68595155,61.41820541,2.432344644,0,0,12.34655355,3.251211994,2.077123616,
2024,9,,,,,NYOS2409,8.3,41,C06,1,-73.07122833,40.07918,39.878,39.568,8.3857,31.9303,7.888,0.594,1.69E-11,1024.9903,8.3818,24.8084,7.6274,232.588,9.53897,290.88078,79.96,C021,,2176.416885,,2094.767903,,,7.607922934,7.843326717,636.6844073,639.1973796,1990.482341,74.26690576,30.01865648,36.60441977,0.8109558193,0,0,16.91426829,1.78737274,1.127403566,
2024,9,,,,,NYOS2409,8.3,41,C06,1,-73.07122833,40.07918,39.878,39.568,8.3857,31.9303,7.888,0.594,1.69E-11,1024.9903,8.3818,24.8084,7.6274,232.588,9.53897,290.88078,79.96,C020,,2175.85782,,2094.878888,,,7.605951283,7.841196671,639.9145804,642.4403021,1990.792857,73.91507604,30.170954,36.44253823,0.8069881319,0,0,16.94392577,1.778905296,1.122062639,
2024,9,,,,,NYOS2409,8.4,59,C07,5,-72.90648333,39.83898333,2.379,2.361,20.4305,32.5466,8.198,0.0562,4.09E+01,1022.7892,20.43,22.7789,7.2389,221.18,7.44447,227.46173,97.238,C029,,2197.431708,,1974.773709,,,7.948644503,8.016298289,421.1582695,422.5838776,1799.609069,161.4974697,13.66716993,70.88916688,3.948378911,0,0,11.0975674,3.933196038,2.546872947,
2024,9,,,,,NYOS2409,8.4,59,C07,4,-72.90648333,39.83898333,20.126,19.971,20.0854,32.5433,8.19,0.0701,4.16E+00,1022.9549,20.0817,22.8677,7.3149,223.482,7.4919,228.891,97.637,C028,,2197.052343,,1975.510241,,,7.946455689,8.018648943,417.6377659,419.0575385,1801.206467,160.6206243,13.68314925,70.7646973,3.849722697,0,0,11.13278556,3.899304458,2.523158776,
2024,9,,,,,NYOS2409,8.4,59,C07,3,-72.90648333,39.83898333,29.978,29.746,14.9794,32.4632,8.109,0.9133,1.63E+00,1024.1549,14.975,24.0223,8.374,255.552,8.26649,252.27137,101.301,C027,,2193.558192,,2017.10917,,,7.849984889,7.997358498,439.7213564,441.3153924,1869.752397,130.639301,16.71747163,60.28223192,2.255240883,0,0,12.6023592,3.150039335,2.013716367,
2024,9,,,,,NYOS2409,8.4,59,C07,2,-72.90648333,39.83898333,43.324,42.988,9.2389,32.0517,7.878,0.4446,3.40E-02,1024.9705,9.2344,24.7737,7.3123,222.987,9.35177,285.18202,78.191,C026,,2180.270434,,2096.079536,,,7.613883041,7.836729779,650.0674382,652.6048012,1990.37734,75.94434921,29.75784702,37.14543951,0.8738265202,0,0,16.74092511,1.825691803,1.153537481,
2024,9,,,,,NYOS2409,8.4,59,C07,1,-72.90648333,39.83898333,56.836,56.393,8.5123,32.2149,7.845,0.089,1.13E-13,1025.2719,8.5066,25.0129,7.0223,214.093,9.49435,289.46221,73.962,C025,,2187.917633,,2109.115145,,,7.595511488,7.827500943,663.8469926,666.4628394,2004.910967,73.09064091,31.1135368,36.04373655,0.7968367239,0,0,17.03390715,1.750806005,1.105553106,
2024,9,,,,,NYOS2409,8.5,66,C08,5,-72.75491667,39.60186667,2.416,2.397,21.6156,33.1372,8.213,0.0501,3.74E+01,1022.9197,21.6151,22.9093,7.0163,214.351,7.2611,221.83052,96.628,C035,,2228.789185,,1987.229797,,,7.974147462,8.02428729,415.6991774,417.0857812,1799.842916,174.3671543,13.01972677,75.68896557,4.532664803,0,0,10.68079481,4.235573688,2.755042819,
2024,9,,,,,NYOS2409,8.5,66,C08,4,-72.75491667,39.60186667,19.783,19.631,12.8569,32.2941,8.081,0.876,3.94E+00,1024.4142,12.8542,24.3258,8.821,269.115,8.6408,263.61615,102.086,C034,,2191.311227,,2031.651333,,,7.81279015,7.991889868,445.0540604,446.7117811,1893.824537,119.7405916,18.08620503,56.21414715,1.801768508,0,0,13.27232321,2.891049746,1.839162088,
