"","X","lon","lat","date","bot_depth","depth","depth_flag","temp","temp_flag","profile_num","EPU","NYB","STRATA","seafloor_depth","surf_temp","surf_temp_1m","bot_T","bot_T_10m"
"1",1434,-73.178337097168,38.6100006103516,20190318,537,3.96981310844421,0,10.4399995803833,0,12,"MAB","NYB",1760,-523,10.4399995803833,NA,6.13000011444092,NA
"2",1936,-73.1283340454102,38.689998626709,20190318,144,3.96978425979614,0,8.57999992370605,0,13,"MAB","NYB",1750,-148,8.57999992370605,NA,12.9099998474121,12.9099998474121
"3",2075,-73.0283355712891,38.7533340454102,20190319,271,3.96976184844971,0,8.35999965667725,0,14,"MAB","NYB",1760,-272,8.35999965667725,NA,10.0900001525879,10.0900001525879
"4",2342,-73.0883331298828,38.7983322143555,20190319,91,0.992443561553955,0,7.23000001907349,0,15,"MAB","NYB",1750,-97,7.23000001907349,7.23000001907349,9.96000003814697,9.96000003814697
"5",2425,-72.8266677856445,39.0533332824707,20190319,117,2.9772481918335,0,7.71999979019165,0,16,"MAB","NYB",1750,-115,7.71999979019165,NA,12.1599998474121,12.1599998474121
"6",2536,-72.7466659545898,39.1916656494141,20190319,120,0.992408454418182,0,8.13000011444092,0,17,"MAB","NYB",1030,-120,8.13000011444092,8.13000011444092,12.5500001907349,12.5500001907349
"7",2652,-72.7633361816406,39.2666664123535,20190319,96,0.992401659488678,0,7.53999996185303,0,18,"MAB","NYB",1020,-95,7.53999996185303,7.53999996185303,11.2399997711182,11.2399997711182
"8",2741,-72.4416656494141,39.314998626709,20190319,142,0.992397308349609,0,7.84999990463257,0,19,"MAB","NYB",1030,-144,7.84999990463257,7.84999990463257,13.0500001907349,13.0500001907349
"9",2878,-72.303337097168,39.3033332824707,20190319,253,0.992398381233215,0,7.59000015258789,0,20,"Not in NES","NYB",1040,-272,7.59000015258789,7.59000015258789,11.3100004196167,NA
"10",3083,-72.2916641235352,39.2983322143555,20190319,285,3.969566822052,0,7.63000011444092,0,21,"Not in NES","NYB",1040,-302,7.63000011444092,NA,8.80000019073486,8.80000019073486
"11",3364,-72.3000030517578,39.5166664123535,20190319,309,3.96948838233948,0,7.13000011444092,0,22,"MAB","NYB",1040,-316,7.13000011444092,NA,9.14999961853027,9.14999961853027
"12",3669,-72.2099990844727,39.5033340454102,20190319,256,3.96949291229248,0,7.44999980926514,0,23,"MAB","NYB",1040,-317,7.44999980926514,NA,10.9200000762939,10.9200000762939
